,Description,forum
47, * Why is it necessary to compute the label distribution if the classes are redistributed based on the model performance?,GHaQlkoNM-p
48, * How does the scale attention part of the method work? It would have been nice to explain it in the report.,GHaQlkoNM-p
49,* There are no ablation studies showing the individual effect of multi-scale CutMix and scale attention on the segmentation performance and therefore it is not clear what makes this method effective.,GHaQlkoNM-p
50,OK but not good enough - rejecion,GHaQlkoNM-p
51,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,GHaQlkoNM-p
52,"Although the proposed method seems effective, the contribution is marginal and is not scientifically motivated.",GHaQlkoNM-p
53,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",R6YWiPVOQBo
54,"The paper proposes a new temporal convolution operator (3D TCDC), that combines a vanilla 3D convolution operator with a ""Temporal Central Difference"" term, and an optical flow guided Rank Pooling operation to compress the raw RGB input stream to a more compact single vector",R6YWiPVOQBo
55,A two stream network leverages both optical flow and the rank pooling representation to perform the task of action recognition,R6YWiPVOQBo
56,The method is evaluated on the VIPriors action recognition dataset and significant performance improvements are shown.,R6YWiPVOQBo
57,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,R6YWiPVOQBo
58,* I like that the authors propose 3D TCDC as a new fundamental building block for 3D CNNs; the method seems interesting.,R6YWiPVOQBo
59,* The method seems effective on the dataset it has been evaluated on.,R6YWiPVOQBo
60,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,R6YWiPVOQBo
61,* The paper is too compact and omits some prerequisites that would make the method much more easy to understand,R6YWiPVOQBo
62,Especially section 3 would benefit from a more detailed explanation:,R6YWiPVOQBo
63, * What does the temporal CD term in equation (1) do and what is the motivation behind it? It would have helped to provide a short recap of [13].,R6YWiPVOQBo
64," * Similarly for the Rank Pooling operation: what is the motivation behind equation (2)? Which variable is optimized and what does the optimization represent? What are $\omega$, $\delta$, $\xi$? The authors could have at least referred to previous work on rank pooling.",R6YWiPVOQBo
65," * How are the two streams fused, i.e",R6YWiPVOQBo
66,"what is ""Probability fusion"" in Fig",R6YWiPVOQBo
67,* It would have been nice if the method would have been evaluated on multiple datasets,R6YWiPVOQBo
68,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,R6YWiPVOQBo
69,The proposed method seems interesting and effective,R6YWiPVOQBo
70,"However, the paper provides too little explanation on the method",R6YWiPVOQBo
71,"Nevertheless, I'm willing to accept the paper in the hope that the authors can further elaborate on the for the camera-ready version.",R6YWiPVOQBo
72,[Detailed comments] Additional comments regarding the paper (e.g,R6YWiPVOQBo
73,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",R6YWiPVOQBo
74,"* The abbreviation ""C3D"" is never explained.",R6YWiPVOQBo
75,"* (line 202) ""We assume it’s caused by the irrelevant features with local optima.""   ",R6YWiPVOQBo
76,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",R6YWiPVOQBo
77, This paper introduces a data-efficient pipeline to address the problem of action recognition,R6YWiPVOQBo
78,It is based on a two-stream model that utilizes an enhanced C3D network,R6YWiPVOQBo
79,The convolutions in the C3D are modified to include a 3D Temporal Central Difference Convolution term,R6YWiPVOQBo
80,"Instead of working with RGB, authors proposed to use Rank Pooling guided with Optical Flow",R6YWiPVOQBo
81,"Additionally, this work is ranked 2nd in de VIPriors Action Recognition Challenge.",R6YWiPVOQBo
82,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,R6YWiPVOQBo
83," -	Modification of the convolution, integrating a new term.",R6YWiPVOQBo
84, -	2nd Position in the challenge.,R6YWiPVOQBo
85,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,R6YWiPVOQBo
86, -	The paper feels more like a technical report than a proper paper.,R6YWiPVOQBo
87, -	The introduction needs more motivation.,R6YWiPVOQBo
88, -	Experiments are very much focused on the challenge,R6YWiPVOQBo
89,Only modifying the convolution would need more justification,R6YWiPVOQBo
90,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,R6YWiPVOQBo
91, Weaknesses of point 3 justify the rating.,R6YWiPVOQBo
92,[Detailed comments] Additional comments regarding the paper (e.g,R6YWiPVOQBo
93,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",R6YWiPVOQBo
94," Please, include Rank Pooling citation, it seems is introduced by the authors.",R6YWiPVOQBo
95,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",s-OSwnzXvEi
96,The paper proposes a novel CNN architecture for semantic segmentation based on U-Net and MobileNetV3 blocks,s-OSwnzXvEi
97,The proposed architecture is applied on the MiniCity dataset and performance improvements are shown.,s-OSwnzXvEi
98,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,s-OSwnzXvEi
99,* Clarity: the paper is clear and easy to read.,s-OSwnzXvEi
100,* Effectiveness: the method seems effective on small-size datasets.,s-OSwnzXvEi
101,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,s-OSwnzXvEi
102,* Scope: The proposed architecture change is motivated by computational efficiency and parameter reduction rather than incorporating prior knowledge,s-OSwnzXvEi
103,"Prior knowledge is only considered to motivate the techniques used for data augmentation, which are generic and widely used techniques.",s-OSwnzXvEi
104,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,s-OSwnzXvEi
105,"Despite being effective, the proposed architecture is not motivated by incorporating prior knowledge but rather by computational efficiency and therefore the paper falls outside of the intended scope of this workshop.",s-OSwnzXvEi
106,[Detailed comments] Additional comments regarding the paper (e.g,s-OSwnzXvEi
107,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",s-OSwnzXvEi
108,"(line 173) ""We divide the learning rate by 10 at ",s-OSwnzXvEi
109,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",s-OSwnzXvEi
110,The paper proposes new U-Net architecture which uses MobileNetV3 blocks.,s-OSwnzXvEi
111,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,s-OSwnzXvEi
112,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,s-OSwnzXvEi
113,- Only changing the architecture and no prior rather than generic data augmentation,s-OSwnzXvEi
114,- It is more like technical report.,s-OSwnzXvEi
115,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating,s-OSwnzXvEi
116,[Detailed comments] Additional comments regarding the paper (e.g,s-OSwnzXvEi
117,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",s-OSwnzXvEi
118,- Why the 'related works' are related to the paper is missing.,s-OSwnzXvEi
119,- L.32: Is any meaningful pretraining available for medical data?,s-OSwnzXvEi
120,- Simple present tense instead of past tense,s-OSwnzXvEi
121,"- L.24: ""..appoaches.."" (only one is given.)",s-OSwnzXvEi
122,"- L.57: classifying objects[?,?,?], detecting objects[?,?,?], estimating pose[?,?,?]",s-OSwnzXvEi
123,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",UPbbSsBzfEW
124,The paper proposes a combination of extensive data augmentation and model ensembling to train deep neural networks in a data efficient manner,UPbbSsBzfEW
125,Experiments are performed on small-size classification and segmentation datasets and performance improvements are shown.,UPbbSsBzfEW
126,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,UPbbSsBzfEW
127,* Clarity: the paper is clear and easy to read.,UPbbSsBzfEW
128,* Effectiveness: the method seems effective on small-size datasets.,UPbbSsBzfEW
129,* Reproducibility: the experiments are well documented and include relevant hyperparameters.,UPbbSsBzfEW
130,* Experiments: the effectiveness of the method is empirically demonstrated through ablation studies.,UPbbSsBzfEW
131,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,UPbbSsBzfEW
132,* The papers mostly makes use of existing data augmentation techniques and therefore lacks novelty,UPbbSsBzfEW
133,The only seemingly novel contribution is the Frequency Weighted (FW) model ensemble method for dealing with the imbalanced class distribution in the semantic segmentation experiments.,UPbbSsBzfEW
134,334-359) The paper claims that FW model ensembling is beneficial for low frequency classes but does not support this claim with empirical results,UPbbSsBzfEW
135,The authors should have included a comparison of per-class IoU scores between the baseline method and the proposed method.,UPbbSsBzfEW
136,"147-149) ""...mixup extends the training distribution by incorporating the prior knowledge that linear interpolations of feature vectors should lead to linear interpolations of the associated targets.""",UPbbSsBzfEW
137,The argument of the proposed method for incorporating prior knowledge is fairly weak and is related to existing work (Mixup),UPbbSsBzfEW
138,The paper therefore seems to fall outside of the intended scope of this workshop.,UPbbSsBzfEW
139,* 5: Marginally below acceptence threshold,UPbbSsBzfEW
140,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,UPbbSsBzfEW
141,"Despite the effectiveness of the data augmentation and model ensembling techniques, the proposed method is mainly not novel and the argument for incorporating prior knowledge is weak.",UPbbSsBzfEW
142,[Detailed comments] Additional comments regarding the paper (e.g,UPbbSsBzfEW
143,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",UPbbSsBzfEW
144,* A table including per-class IoU scores and class occurances should be included for the segmentation experiment.,UPbbSsBzfEW
145,* It would be nice to see example images for the proposed data augmentation method for image classification as well.,UPbbSsBzfEW
146,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",UPbbSsBzfEW
147,"The paper shows an ensemble of multiple models, which are trained with various augmentation techniques, improves the performance of image classification and segmentation tasks",UPbbSsBzfEW
148,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,UPbbSsBzfEW
149,- Performance on classification and segmentation tasks,UPbbSsBzfEW
150,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,UPbbSsBzfEW
151,- There is no proper Related Works section.,UPbbSsBzfEW
152,- The structure of the paper is hard to follow and there are jumps from a topic to another.,UPbbSsBzfEW
153,- A lot of missing citations,UPbbSsBzfEW
154,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,UPbbSsBzfEW
155,The paper is more technical report than an academic paper.,UPbbSsBzfEW
156,[Detailed comments] Additional comments regarding the paper (e.g,UPbbSsBzfEW
157,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",UPbbSsBzfEW
158,	> L.45: 'Methods' (only one method),UPbbSsBzfEW
159,	> L.78: 'frequency weighted model ensemble',UPbbSsBzfEW
160,	> L.367: 'Conventional semantic segmentation models..',UPbbSsBzfEW
161,- L.217: The second part of formula is not explained.,UPbbSsBzfEW
162,"- L.267: No need for ""Please..""",UPbbSsBzfEW
163,"- L.298: What is ""m"" in the formula and Fig 2?",UPbbSsBzfEW
164,"- L.313: ""TTA"" can be given in paranthesis",UPbbSsBzfEW
165,- L.337: It is not clear if the sentence is about the segmentation or both classification and segmentation.,UPbbSsBzfEW
166,"- L.355, 356, 368 etc: Future tense can be changed as simple present tense.",UPbbSsBzfEW
167,"- L.343, 344, 347, 352: Frequency can be misunderstood, instead, frequent or occuring etc can be used.",UPbbSsBzfEW
168,- L.374: HRNetV2 and Object Contextual Representation methods should be in Related works section.,UPbbSsBzfEW
169,- L.399: Link can be footnote.,UPbbSsBzfEW
170,There should be a consistency about refering the tables,UPbbSsBzfEW
171,In some cases they are as 'Table' and for other cases as 'Tab.',UPbbSsBzfEW
172,- L.516: Did the authors train the segmentation networks 4840 epochs or it is a typo?,UPbbSsBzfEW
173,"- L.579: ""We observed several interesting phenomena.."" It is not clear that what are those findings.",UPbbSsBzfEW
174,- Please remove intermediate horizontal lines in the tables (booktabs latex),UPbbSsBzfEW
175,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",v_KSmk9B5kt
176,The authors propose modifying an image classification CNN to add prototype matching with support for partial matches to be more robust to object occlusions,v_KSmk9B5kt
177,An additional top-down feedback module helps reduce the artefacts caused by occlusions.,v_KSmk9B5kt
178,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,v_KSmk9B5kt
179,Extensive experimentation including ablation studies; great amount of analysis to give insight into results.,v_KSmk9B5kt
180,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,v_KSmk9B5kt
181,Amount of related works included in comparisons is limited; there are better models than VGG to use as baseline; experiments on real occlusions (i.e,v_KSmk9B5kt
182,COCO) are limited and complex in setup.,v_KSmk9B5kt
183,[Detailed comments] Additional comments regarding the paper (e.g,v_KSmk9B5kt
184,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",v_KSmk9B5kt
185,"- Line 437: details on ""insufficiency of images"" are needed",v_KSmk9B5kt
186,- Table 2: replace numbered accuracies with some description in the table header,v_KSmk9B5kt
187,- Line 528: table reference broken,v_KSmk9B5kt
188,"- Multiple places: ""Experiments will show"" -> ""Experiments in section x show"", or alternatively consider reorganizing the paper to not (have to) refer to future sections.",v_KSmk9B5kt
189,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",v_KSmk9B5kt
190, The paper describes an object classification pipeline to better generalize in difficult occluded scenarios,v_KSmk9B5kt
191,"It is composed of three main concepts: prototype learning, partial matching and top-down modulation",v_KSmk9B5kt
192,"Experiments show the benefits of the pipeline at different levels of occlusion in a simulated scenario, as well as in a real scenario",v_KSmk9B5kt
193,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,v_KSmk9B5kt
194, -	The paper is well motivated and clear.,v_KSmk9B5kt
195, -	The incremental experimental set-up helps understand the benefits of each of the concepts.,v_KSmk9B5kt
196," -	In the concrete experimental set-up authors propose (vehicle images), the pipeline works.",v_KSmk9B5kt
197, -	The paper clearly studies how to include visual inductive priors to the network to improve generalization performance.,v_KSmk9B5kt
198,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,v_KSmk9B5kt
199," -	The paper seems to have a very controlled experimental set-up, using only vehicles",v_KSmk9B5kt
200,It would be interesting to study how the method performs with different objects.,v_KSmk9B5kt
201," -	Additionally, a comparison with state-of-the-art approaches in this task would add value to the paper.",v_KSmk9B5kt
202,	- Why 512 dictionary components? Why does it work for all datasets?,v_KSmk9B5kt
203,"	- Have authors tried to use a different model, apart from VGG?",v_KSmk9B5kt
204,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,v_KSmk9B5kt
205," Readability and use of inductive priors, very positive",v_KSmk9B5kt
206,Weaknesses are further questions to the paper.,v_KSmk9B5kt
207,[Detailed comments] Additional comments regarding the paper (e.g,v_KSmk9B5kt
208,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",v_KSmk9B5kt
209,Is there any way to change this?,v_KSmk9B5kt
210, -	Line 533-539: Shape of prototypes,v_KSmk9B5kt
211,"This would be quite interesting to have it in the main paper, not in the supplementary material",v_KSmk9B5kt
212,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",yc54rY6_tX6
213,This paper addresses the task of unsupervised learning of video representations for action recognition,yc54rY6_tX6
214,"Following current trend for image representation learning, authors propose first to adapt [46] and [49] for video instance recognition and local aggregation respectively",yc54rY6_tX6
215,"Since results prove that these methods do not capture motion, which is clearly important for action recognition, they proposed to force a 3D ConvNet to learn embeddings from IDTs",yc54rY6_tX6
216,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,yc54rY6_tX6
217,The whole paper is well written and motivations are very well stated.,yc54rY6_tX6
218,"Although authors obtained promising results by correctly adapting [46] and [49], they went further and analyzed errors.",yc54rY6_tX6
219,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,yc54rY6_tX6
220,A strong hypothesis of the paper is that motion is important to recognize actions in videos,yc54rY6_tX6
221,"And current 3D convnets models cannot learn it, while they tend to only learn appearance",yc54rY6_tX6
222,"For this reason, authors use IDTs.",yc54rY6_tX6
223,"This hypothesis seems unfair since 3D convs can be trained with flow, or even two-stream.",yc54rY6_tX6
224,"Have authors try their Video IR and Video LA using directly optical flow, or introducing a two-stream model? (C3D, I3D, R(2+1), TSN,…)",yc54rY6_tX6
225,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,yc54rY6_tX6
226,"Good research story, good experimental set-up but arguable assumption.",yc54rY6_tX6
227,[Detailed comments] Additional comments regarding the paper (e.g,yc54rY6_tX6
228,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",yc54rY6_tX6
229,Do authors plan to release supplementary material they claim to have in the paper?,yc54rY6_tX6
230,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",yc54rY6_tX6
231,The paper proposes a method which uses IDT descriptor and 3DConvNet to obtain action clusters and learns the unsupervised video representation.,yc54rY6_tX6
232,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,yc54rY6_tX6
233,- Using IDT as prior knowledge,yc54rY6_tX6
234,- Extensive related works and ablation study,yc54rY6_tX6
235,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,yc54rY6_tX6
236,- It requires training with other big dataset.,yc54rY6_tX6
237,- Do the authors have any evidence of the performance without the usage of any other dataset?,yc54rY6_tX6
238,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating,yc54rY6_tX6
239,The paper has nice analyses and the proposed method outperforms other methods by using IDT descriptors and 3DConvNet.,yc54rY6_tX6
240,[Detailed comments] Additional comments regarding the paper (e.g,yc54rY6_tX6
241,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",yc54rY6_tX6
242,- L.318: Can you elaborate with the fine-tuning stage?,yc54rY6_tX6
243,"- Can you please clarify for the Table 3 if you train your network with Kinetics-400 or 600? Most of the methods (DPC, 3D-Puzzle, PMAS) in the table use Kinetics-400 for self supervised training.",yc54rY6_tX6
244,- Do you have any memory usage and time analyses?,yc54rY6_tX6
245,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",A4ft_k1rJ1C
246,The authors propose a VQA method that jointly optimizes question answering and answer type classification using an ensemble of existing attention-based VQA methods,A4ft_k1rJ1C
247,Prior information about the answer types is integrated into a weighted loss,A4ft_k1rJ1C
248,"Modalities are fused by first merging visual and linguistic features, then merging in question type features.",A4ft_k1rJ1C
249,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,A4ft_k1rJ1C
250,The authors use prior information on answer types while allowing the model to account for outlier questions,A4ft_k1rJ1C
251,The authors perform extensive experiments to show all aspects of their works.,A4ft_k1rJ1C
252,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,A4ft_k1rJ1C
253,It is not clear how significant the individual performance increases of each contribution are,A4ft_k1rJ1C
254,Crucial design choices for the VQA loss are not motivated (e.g,A4ft_k1rJ1C
255,"Presentation needs work (typos, grammar, typesetting).",A4ft_k1rJ1C
256,"[Overall rating] Paper rating: Accept (tentative rating, subject to revision until deadline)",A4ft_k1rJ1C
257,[Detailed comments] Additional comments regarding the paper (e.g,A4ft_k1rJ1C
258,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",A4ft_k1rJ1C
259,"- Please review the paper for typos, incorrect grammar and typesetting",A4ft_k1rJ1C
260,"Specifically lines 40 (grammar), 114, 178, 260 ""constraints"", 264, 287 (capitalizing VQA), 389 ""standardly"", 436 end of line, 590 ""modaality""",A4ft_k1rJ1C
261,"- Table 4: your method is not the highest (LXMERT is), so please do not use bold numbers",A4ft_k1rJ1C
262,See also the claim on line 594.,A4ft_k1rJ1C
263,"- Algorithm 1 should be expressed in math, like the other equations.",A4ft_k1rJ1C
264,- Source for claim on line 153,A4ft_k1rJ1C
265,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",A4ft_k1rJ1C
266,The paper proposes a method which constrains search space by using question type information as prior information and utilizes different attentions to obtain better results.,A4ft_k1rJ1C
267,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,A4ft_k1rJ1C
268,- Search space constraints according to question types,A4ft_k1rJ1C
269,- Performance and better attention maps,A4ft_k1rJ1C
270,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,A4ft_k1rJ1C
271,- Question types are prior knowledge yet not visual prior knowledge.,A4ft_k1rJ1C
272,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating,A4ft_k1rJ1C
273,[Detailed comments] Additional comments regarding the paper (e.g,A4ft_k1rJ1C
274,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",A4ft_k1rJ1C
275,- Fig.3: Some of the notations are not visible,A4ft_k1rJ1C
276,"In addition, you can show modules with dashed areas with different colors.",A4ft_k1rJ1C
277,- Table 4: Why did you make your results as bold?,A4ft_k1rJ1C
278,- The effectiveness of multi-hypothesis interaction learning proposed,A4ft_k1rJ1C
279,in Section 3.3: The explanation in the subsection makes confusion because the order of showing the results,A4ft_k1rJ1C
280,It can be better to have a paragraph for each result (table).,A4ft_k1rJ1C
281,- Will you share the code and models?,A4ft_k1rJ1C
282,- L.436: not fitting in the line,A4ft_k1rJ1C
283,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",LvOKdhutM-r
284,The paper proposes a lightweight action recognition model which can run on embedded AI devices with compressed videos.,LvOKdhutM-r
285,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,LvOKdhutM-r
286,- Lightweight model and can fit embedded AI device,LvOKdhutM-r
287,- Extensive related works and ablation study,LvOKdhutM-r
288,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,LvOKdhutM-r
289,"- Although some of information are refered as ""in the suppl",LvOKdhutM-r
290,"material"", nothing is sent as supplamentary materials.",LvOKdhutM-r
291,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating,LvOKdhutM-r
292,[Detailed comments] Additional comments regarding the paper (e.g,LvOKdhutM-r
293,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",LvOKdhutM-r
294,- Can the proposed method work with raw videos as well?,LvOKdhutM-r
295,- L.429: Are all the baselines use the same spatial size of the proposed method?,LvOKdhutM-r
296,- L.600: The improvement of B-frames is not significant,LvOKdhutM-r
297,Is there any other evidence to show B-frames are more important than P-frames?,LvOKdhutM-r
298,- What are the limitations of the work?,LvOKdhutM-r
299,- L.438: giving full form of FPS,LvOKdhutM-r
300,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",LvOKdhutM-r
301,The paper describes a new lighter and more efficient model (ATTP) for the problem of Compressed Video Action Recognition,LvOKdhutM-r
302,"As backbone, the adopt the EfficientNet network",LvOKdhutM-r
303,"To better use the information of frames, motion and residuals, the authors also introduce a temporal fusion module (Trilinear Pooling) and a feature alignment method",LvOKdhutM-r
304,Experiments show ATTP can reach state-of-the-art results by using a lighter model,LvOKdhutM-r
305,Ablation experiments also demonstrate the benefits of all the modules.,LvOKdhutM-r
306,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,LvOKdhutM-r
307,The whole paper is well written and the motivations are well stated.,LvOKdhutM-r
308,The set of experiments is very readable and clear.,LvOKdhutM-r
309,The authors clearly demonstrate they can achieve state-of-the-art results using a lighter model.,LvOKdhutM-r
310,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,LvOKdhutM-r
311,"More than clear weaknesses, I miss some little further justifications:",LvOKdhutM-r
312,-	It is clear that feature alignment improves accuracy but interestingly the lambda parameter of the whole ATTP loss (Eq,LvOKdhutM-r
313,I would also have appreciated an experiment varying this parameter to see the actual influence of it.,LvOKdhutM-r
314,"-	Regarding the type of frames used, although Fig",LvOKdhutM-r
315,"4 seems pretty informative, it would also be interesting to see how I, B and P frames affect to computation efficiency, with an experiment like in Table 1.",LvOKdhutM-r
316,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,LvOKdhutM-r
