,Class Index,Description
21,3, It also analyses how adversarial training affects detection.
22,3," By varying the prior distribution, the framework can incorporate both generative and discriminative modeling."
23,3, Since we know nothing about all these samples it may very well be that that are learning technical artifacts related to their specific batch of 4 patients.
24,1, This is an important area and findings in this paper are interesting!
25,2,Preliminary and intriguing results that should be published elsewhere.
26,3," However, how widespread is this problem across other models or are you simply addressing a point problem for RN?"
27,3,"  This is fine, but could perhaps be pointed out if that is indeed the case."
28,1,"\n\nPros:\n\nThe intuition is that the ReLU network output is locally linear for each input, and one can use the conjugate mapping (which is also linear) for reconstructing the inputs, as in PCA."
29,3, Current results in Table 1 only compare the amount of data in policy learning.
30,3,\n\n? p.3: What parts are pre-trained?
31,1,  I do think the paper would benefit from experimental results
32,3,"""The paper introduces a new approach to learn embeddings of relational data using multimodal information such as images and text."
33,3," As the author say, learning the actions from state transitions in a standard stochastic MDP would require to learn the model."
34,1, Networks are incrementally grown; child networks are initialized with learned parameters from their parents.
35,3, Maybe finding better examples where the benefits of the proposed regularization are stressed could help.
36,3, They discuss in detail some examples where tighter variational bounds in state-space models lead to worse parameter estimates (though in a quite different context and with a quite different analysis).
37,3, And the whole paper seems as if written\ncirca 2010 or 2012.
38,3,"\n5) I think what enables the training of very deep networks or LSTMs on long sequences is the presence of a (close-to-)identity component in forward/backward propagation, not the gating."
39,1, The contributions are interesting and experimental results seem promising.
40,3, but nothing really serious.
41,3, It is not easy to see what the assumption means.
42,3,\nA large set of experiments are provided to support the claims of the paper.
43,1,"\n8. A consistent focus on human evaluation, as found in this paper, is probably the right approach for contemporary dialogue research."
44,1," However, the authors do prove their work, which increases the novelty."
45,3," Speech recognition experiments on synthetic noise on audio and video, as well as real data are shown."
46,3," (2) Algorithmically, they further propose softmax Q-distribution maximum likelihood (SQDML) which improves RAML by achieving the exact Bayes decision boundary asymptotically."
47,3," \""we turn to the discussion of a second\""\n- etc.[[CNT], [CLA-NEG], [CRT], [MIN]]  \n\nQuality: High\nClarity: medium-low\nOriginality: high"
48,2,I should be happy I dont have to spend time reviewing this dreadful paper; but I'm depressed at such bad science
49,3, They introduce a concept of \u201cscatter\u201d that correlates with network performance.
50,3," Furthermore, the authors include an approximation of the certificate into their objective function, thus training networks that are more robust against attacks."
51,3,\n\nDetailed comments:\n1) My main concern is that the abstract and intro claims things that are never proven (or even stated) in the rest of the paper
52,3," For one thing, there is the\nirksome and repeated use of \""discrete structure\"" when discrete *sequences* are\nconsidered almost exclusively (with the exception of discretized MNIST digits)."
53,3, I would strongly urge the authors to improve the method description in the camera read version though.
54,3,"  \n- Some ablation studies (e.g., on entropy regularization and relative entropy) and sensitivity analysis on parameters (e.g. \\alpha and update frequency on \\phi) would be helpful."
55,3,\n - Should reference to (Manning et al. 1999) better be to (Manning et al. 2008) since the context here appears to be IR systems?
56,3, Results are in line with hypothesis\n\t\u2022\tThorough appendix clearing any open questions \n\u00a0\n
57,3,"""This paper introduces a smooth surrogate loss function for the top-k SVM, for the purpose of plugging the SVM to the deep neural networks."
58,3, This raises the question whether the named entity table can only work in this context.
59,3,It requires generation of a diverse training set consisting of execution traces which describe in detail the role of each function in solving a given input problem.
60,2,..incoherent babble of unsubstantiated overstatement.
61,3,"""The paper introduces XWORLD, a 2D virtual environment with which an agent can constantly interact via navigation commands and question answering tasks."
62,3, I recommend to follow the notation E[variable] the authors been using throughout the paper in the proof instead of dropping these brackets.
63,3," What I would like to see is the results of a model based on the method of Ioannou et al, 2016 with the same number of FLOPS."
64,3,\n\nThe initial description (section 2)  leaves way too many unanswered questions:\n- What embeddings are used for words detected as NE?
65,1," The difference in performance for Dual-AC between Figure 1 and Figure 2b is significant, but the only difference seems to be a reduce batch size, is this right?"
66,3,  how was the net initialized? 
67,1,\n\nQuality: this paper is of good quality
68,3, \n\n2) The inclusion of remaining-time as a part of the agent's observations and resulting improvement in time-limited domains is somewhat obvious.
69,3,"However, it relies on bootstrapping from word embeddings learned on Wikipedia corpus, which is a comparable corpus even though individual sentences are not aligned across languages"
70,1,"\n\n- The part-editing and shape analogies results are interesting, and it would be nice to see these expanded in the main paper."
71,2,What is a systematic review? I have never heard of an unsystematic review.
72,3,\n\nMajor comments\n=============\n1. The authors authors showed that their method enables a higher speedup and lower drop in accuracy than existing methods when applied to VGG16..
73,2,this may eventually be a cited paper.
74,3,  Would this affect the distributions?
75,3,  Does this mean that the network can only be trained when a complete set of input-output examples is available (i.e. outputs for all possible inputs in the domain)?
76,3,\n\nThe model is learned from a single large input graph (for three real-world networks) and evaluated against one baseline generative graph model: degree-corrected stochastic block models.
77,3,"""This paper focuses on the learning-from-crowds problem when there is only one (or very few) noisy label per item."
78,3,"""The paper combines several recent advances on generative modelling including a ladder variational posterior and a PixelCNN decoder together with the proposed convolutional stochastic layers to boost the NLL results of the current VAEs."
79,1," but they do show some value for the technique in the area of domain-specific coreference.\n\n"""
80,3,"\n\n- Compared to many existing techniques, on 9 tasks"
81,3, The main goal is to quantify mode collapse in state-of-the-art generative models.
82,3,"\n[3] Stanley, K. O., & Miikkulainen, R. (2002). Evolving neural networks through augmenting topologies."
83,2,[H] did a few sloppy experiments and attached his name to the great pioneering work by [P]. He should not be mentioned.
84,3,"""The authors propose an alternating minimization framework for training autoencoders and encoder-decoder networks."
85,2,"I believe that the authors have done scientific work, but in the current form of the paper it is impossible to judge it."
86,3,"\n- figures readability can be improved."""
87,3, The basic idea is to learn a so-call meter learner to measure similarities of the same words between the target domain and the source domains for help learning word embedding for the target domain with a small corpus.
88,3," I\u2019d like to see far more results, and some attempt at a metric."
89,3,"\n\nThis paper, showing excellent and important work, has already been published on arXiv 9 months ago and widely cited."
90,3,"\n\n* Comparison to baselines: \n  1. How well does this model do against a baseline discriminative image caption ranking approach, similar to [D]?"
91,3," While the idea of pivot based common representation learning for language pairs with no parallel data is not new, adding the communication aspect as an additional supervision is novel."
92,2,"The abstract says absolutely nothing, and I mean this literally and not as a judgement for the content of the paper."
93,3," When I read the paper, I thought the speeding up mechanism could give both speed up and performance boost, and lead to the 82.2 F1."
94,3," The slight improvement may be achieved only by chance and be due to computational inefficiency, or changing a seed."
95,3, \n\nHave you considered approximations to Wasserstein distance? E.g. Danihelka et al proposed using an independent Wasserstein critic to evaluate GANs:
96,1, \n\nThe authors show the AESMC works better than importance weighted autoencoders and the double ELBO method works even better in some experiments.
97,3,"""This paper introduces a neural network architecture for generating sketch drawings."
98,3," \n\nThe experiments also do not compare to modern variational inference methods using the reparameterisation trick with Gaussian variational approximations (see Blundell et al 2016) or richer variational families (see e.g. Louizos and Welling, 2016, 2017)."
99,1, I also like the unsupervised learning through gating function and label difference cost
100,3, It seems the right resolution will be to show that after the overlap is set to a certain small value
101,3,\n\n** PAPER SUMMARY **\n\nThe authors propose to regularize RNN for sequence prediction by forcing states of the main forward RNN to match the state of a secondary backward RNN.
102,3,\n* A cross-entropy loss for the autoencoder does not make much sense in my opinion (?)
103,1,\n  - good overview of the related literature;
104,3," It is shown that simultaneously increasing the momentum parameter and the batch size also allows for fewer parameters, albeit at the price of some loss in performance."
105,3," But the accuracy of both the models is significantly lower than that of their base model (BiDAF) on SQuAD, demonstrating the difficulty of the DuoRC dataset."
106,3,"\n\n6. For the empirical study with 2D MoG, would an imbalanced mixture make it harder for the BRE-regularized GAN to escape from modal collapse?"
107,3," The ideas for this paper are built on existing work in Curriculum learning, which attempts to provide the learner easy examples followed by harder examples later on."
108,1, the choice of baselines is convincing.
109,1,"\n\nOverall, I think this paper is interesting and presents a quantitative analysis of where the errors accrue due to learning with inference networks."
110,3," This can be seen in some of the illustrative examples in Figure 5: there *is* a coarse-scale positive curvature, but this would not necessarily come through in a quadratic model fit using the hessian."
111,3,"\""\n - evaluation of the best method from the cifar10 experiments on the new dataset"
112,2,the sthanthard of writing is impercable
113,3, there exists functions in the overlapping architecture which require an exponential increase in size to be represented in the non-overlapping architecture;
114,3," What happens when you try a bigger data set or a more complex problem?"""
115,3," More evaluations are needed to verify the method, especially with natural images."
116,3,\n\nThe proposed concept is only analyzed in MLP with Sigmoid activation function.
117,2,"The authors are perpetuating misguided generalizations in the face of substantial
experimental data to the contrary"
118,3,  It seems because of other factors instead of the stochastic convolutional layer.
119,3, Can the authors comment on how difficult it will be to add functions to the list in Table 2 to handle the other 15 tasks? Or is NGM strictly for extractive QA?
120,3,\n\n4. The hypothesis are not correctly specified.
121,3, Both these models are built off of an existing model on SQuAD \u2013 the Bidirectional Attention Flow (BiDAF) model.
122,3,"\n\nAs with any empirical results with RL, it is a challenging problem to construct comparable benchmarks due to minor variations in implementation, environment or hyper-parameters all acting as confounding variables [1]."
123,1, It explains high level overview of topic and sets it into context plus gives a sketch of the algorithm and presents the positive results.
124,3,\n\nThe closest work to this paper is the adversarial variational bayes framework by Mescheder et.al.
125,3, \n(iv) How can one maximize a probability density function?
126,3,\nhe resulting multi-channel image-like structures are then feed into vanilla 2D CNN.
127,3,"\n\nIntroduction\n- The introduction to the paper could be made clearer - the authors talk about the language of captioning datasets being repetitive, but that fact is neither used or discussed later."
128,3," Maybe should also compare with more dropout algorithms, such as DropConnect and MaxOut."""
129,1,\n\nClarity: The paper is well-written.
130,3," Specifically, the dot product can be computed as (which is linear to feature size)\n\n(\\sum x_i \\beta_i)^T (\\sum x_i \\beta_i) - \\sum_i x_i^2 beta_i^T beta_i"
131,3, thus I would liked to see more thorough experiments here as well.
132,3," First, we really need a more thorough analysis of what this does to the learning dynamics itself."
133,3, \n\nOriginality\nThe proposed method can be viewed as a multi-step version of the stochastic value gradient algorithm.
134,3," There is not unstructured datasets (e.g., images, text documents, speech) tested, which is where deep learning is making sense."
135,3,"""The paper aims tackles the problem of generate vectorized sketch drawings by using a RNN-variational autoencoder."
136,1," \n\nEmpirical results show that the new complex-flavored neural networks achieve generally comparable performance to their real-valued counterparts, on a variety of different tasks."
137,1,"\n\nWith regard to the evaluation: Overall, I found the evaluation to be good, especially with regard to the different ablations."
138,3,\n2. Compare more clearly setups where you fix the number of parameters.
139,3,"""The paper studies methods for verifying neural nets through their piecewise\nlinear structure."
140,3,"  The other loss should remain what it is in the full \u201cOurs\u201d condition (i.e., l_1).[[CNT], [CNT], [DIS], [MIN]] \n\n- The last sentence in the caption of Table 1 -- \u201cSlight improvement in motion is observed by training with an adversary as well\u201d -- should be removed."
141,3," \""The brain as an efficient and robust adaptive learner.\"" Neuron 94.5 (2017): 969-977."
142,3," This yields the ability to extract corresponding image pairs out of two unpaired datasets, and also to potentially refine unpaired translation by subsequently training a paired translation function on the discovered matches."
143,1, \n\nOriginality and Significance:  The area of relation extraction seems to me to be very important and probably a bit less intensively worked on that it should be.
144,3," Therefore, empirically, it is really hard to justify whether this proposed method could work better."
145,1," Using an architecture to learn how to split the input, find solutions, then merge these is novel."
146,3," An added bonus of eliminating the mu_p, Sigma_p: you could get rid of one subscript in mu_q and sigma_q, which would reduce notational clutter."
147,3," It has a lemma which claims that the \""minimax and the maximin solutions provide the best worst-case defense and attack models, respectively\"", without proof, although that statement is supported experimentally."
148,3, Important properties of saddle points in the min-max/max-min analysis assume that the function is convex/concave w.r.t. to the target variable.
149,3, How do BDQN and DDQN\ncompare when one takes into account running time and not episode count into\naccount?
150,3,\n\nThe work should not be evaluated from a practical perspective as it is of a theoretical nature.
151,3, The type of model used is counterintuitive for me; why use a SVR model?
152,3," \n- Furthermore, I would reformulate the theorem."
153,3, Can we afford to keep all of those frames around?
154,1," \n\nFinally, there are many further simplifications of LSTMs that could have been explored in the literature: coupled input-forget gates (Greff et al, 2015), diagonal matrices for gates, GRUs."
155,3, \n\nAlso the main assumption is that there is an easy way to compute similarity between states.
156,3, These appear to be dataset specific and finding the optimal configuration here requires significant experimentation that takes significantly more time than just running the baseline.
157,3,"""This paper proposed a reinforcement learning (RL) based method to learn an optimal optimization algorithm for training shallow neural networks."
158,1,"""Overall, the idea of this paper is simple but interesting."
159,3," Also, for each data set, which region size worked best?"
160,3," \n\nIn the section of experiments, they compare 5 different methods on two graph mining tasks."
161,3,"\n\nShafto, P., Goodman, N. D., & Griffiths, T. L. (2014). A rational account of pedagogical reasoning: Teaching by, and learning from, examples."
162,3," Specifically, the method tries to discover feature representations, which are invariance in different domains, by minimizing the re-weighted empirical risk and distributional shift between designs."
163,3,\n- It would be helpful to define t_k explicitly to alleviate determining whether it is the interval time between ordered events or the absolute time since t_0 (it's the latter).
164,3," Is there a guarantee that a same named entity, appearing later in the dialog, will be given the same key?"
165,3, It mostly leverages the existing literature on primal-dual subgradient methods to modify the GAN training procedure.
166,3," It uses two networks, parameterization network and prediction network to model the mapping from design parameters to fitness."
167,3," When reading it, at times I felt the main purpose of this paper is to solve the application problems presented in experimental results, instead of proposing a general framework."
168,3, This paper suggests to factorize the recurrent weight matrix as a Kronecker product of matrices.
169,3," 2. the \""approximation gap\"": the part of the slack due to using a restricted parametric form for the posterior approximation."
170,1," \n\nIn general, the proposed work is very interesting and the idea is neat."
171,3,\n\nLemma 2 seems to use the spectral radius of the momentum operator as the *robustness*.
172,1," Invariance to transforms of the marginal distributions is clearly a useful property, and the proposed method seems effective in this regard."
173,1,"\n\nWith respect to the rest of the paper, the level of novelty and impact is \""ok,"
174,1, The authors demonstrate that the network works well in the semi-white box and black box settings.
175,3," It appears to be motivated by improving training dynamics, which is understandably a significant concern."
176,1, The authors generalize this idea in a nice  way and present results on 1 experiment.
177,3,   What if phi_1 is o ((A v B) Until C) and phi_2 is o ((not A v B) Until C).
178,2,"Unfortunatelly [sic], the paper is very shallow. The results are at the level of a naive master thesis"
179,3," \n- missing discussion to the \""attention is all you need paper\"", which seems highly relevant[[CNT], [SUB-NEU], [DFT,SUG], [MIN]] \n\n() Typos:\nPage 1\n\""a support vectors machineS\"" -> \""a support vector machine[[CNT], [CLA-NEG], [CRT], [MIN]] \""\n\""performs good\"" -> \""performs well[[CNT], [CLA-NEG], [CRT], [MIN]] \""\n\""the n-grams was widely\"" -> \""n-grams were widely[[CNT], [CLA-NEG], [CRT], [MIN]] \""\n\""to apply large region size\"" -> \""to apply to large region size\""\n\""are trained separately\"" -> \""do not share parameters\"""
180,1, The plots in Fig. 2 and the appendix are quite helpful in improving presentation.
181,3, I realise not everyone has the computational or engineering resources to try extensively on multiple benchmarks from classification to reinforcement learning.
182,3, The authors first introduce their suggested loss function and then go into details about what inspired its creation.
183,3," As carefully proved and tested, only one pass of the training data would help recover the parametric subspace, thus network could be easily trained layer-wise and expanded."
184,3,"\n\nAnother drawback, perhaps resulted from the \""genetic algorithm\"" motivation is that the proposed method has not been well explained."
185,3, A grammatical error rate (fraction of grammatically wrong sentences produced) would probably be a better measure.
186,3," To find the optimal lower TR-ranks, a block-wise ALS algorithms is presented, and an SGD algorithm is also presented to make the model scalable."
187,3," \n* Section 3. A summary of all the hyperparameters should be given.[[CNT], [SUB-NEU], [DIS], [MIN]] \n* Section 4.1. The number of steps is not given.[[CNT], [SUB-NEU], [DIS], [MIN]] Do you present the same graph multiple times."
188,3, What is the performance of the proposed method if the embeddings are initialized to pretrained word embeddings and a) trained for the classification task together with randomly initialized context units b) frozen to pretrained embeddings and only the context units are trained for the classification task?
189,1," it's a very nice paper, I enjoy reading it *in spite*, and not *because* of the text sales-pitching itself at times"
190,3, It should be supposed L is at least locally convex.
191,2,Ive never read anything like it &amp; I do not mean it as a compliment
192,3, Does that impact the MI of the final layer and Y?
193,3,"  That has have to be named after the EM process, given that EM is unsupervised."
194,1,\n\nPros:\n-\tProvide theoretical guarantee for the use of orthogonal random features in the context of PSRNN
195,3," (Yogatama et al, 2017) demonstrate results on 5 tasks and I think it\u2019d be helpful to present results on a diverse set of tasks and see if conclusions can generally hold."
196,3,"\nThis additional step makes sure that the embedding, or representation, of the data is used in the best possible way for the considered task (which is also reflected in the experiments)."
197,3,"""The paper intends to show that complex and real valued neural network are different and lead to different results on similar tasks, the complex valued network being more appropriate to 'difficult' problems and datasets."
198,3, The approach is evaluated on:\n 1) several variants of MNIST.
199,1, I am raising my score a bit higher.
200,3,"""The paper describes a deep Q-learning approach to the problem of lane changing, whereby the action space is abstracted to high-level maneuvers that are then associated with low-level controllers."
201,3," This allows the authors to turn the standard min max problem of adversarial training into a single minimization problem, which is easier to "
202,3,  Extensive experiments could be added.
203,3," However, these discovered core units are specific to a particular class, which are retained to maintain the deep neural network\u2019s ability to separate that particular class from the other ones."
204,3," On the global convergence of the BFGS method for nonconvex unconstrained optimization problems. SIAM Journal on Optimization, 11(4), 1054-1064."
205,3,"\u2019, \u2018Our two-pass decomposition provides the better result as compared with the original CP decomposition\u2019."
206,3, Experimental results on CIFAR-10 and CIFAR-100 were reported using AlexNet and VGG-16.
207,3, The method is an extension of the GloVe method and in the case of\na single covariate value the proposed method reduces to GloVe.
208,1,\n\nThe work seems to be a little bit incremental.
209,3,"\n - On p.8, I'm a bit suspicious of the \""Is additional knowledge used?"
210,3,"\n- The experiments are on small/limited datasets (MNIST and CIFAR-10). Because of this, confidence intervals (over different initializations, for instance) would be a nice addition to Table 5."
211,2,"While an interesting concept, in its current form, the approach taken is fundamentally inadequate and flawed for almost all use cases."
212,3,\n\n4) Another concern with partial synchronization methods that I have is that how do you pick these configurations (pull 0.75 etc).
213,3,"\n\nOn the top of page 5, \""Line 10 of Algorithm 1\"": I think you mean Line 11 of Algorithm 2."""
214,3,\n- Show the effect of the reparameterization trick on estimator variance.\n- Compare the bias and variance of TRPO estimates vs the proposed method.
215,3,"""This paper proposes an adaptation of the SEARN algorithm to RNNs for generating text."
216,1,\nThere is no obvious technical mistake  and the paper is written reasonably well.
217,3,"""I was asked to contribute this review rather late in the process, and in order\nto remain unbiased I avoided reading other reviews."
218,1,\n\nOn the positive side: \n\nThis is the first paper to my knowledge that has shown that grid cells arise as a product of a navigation task demand.
219,2,"I cannot imagine any physician or scientist who has a job, who will have the time to read this paper."
220,2,Various statements seem to be sweeping and inaccurate generalizations with little robust...
221,3," If the writing was improved, I think the paper may have even more impact."
222,3," Moreover, what is the form of f_beta and how beta is optimized?"
223,1,   I'm very happy to see good application papers at ICLR.
224,1, The work is therefore original and significant.
225,3," The high-level idea is similar to the evolution method of [Real et al. 2017], but the mutation preserves net2net properties, which means the mutated network does not need to retrain from scratch."
226,3, \n\nOne concern is the proposed technique is only applied for few types of RNNs which may limit its applications in practice.
227,1," However, this can be solved by adding one dimension, 4 classes and 3 dimensions seems something feasible."
228,3, It would be interesting to see some sensitivity analysis as well as understand the correlations between different metrics for different hyperparameters (cf. Appendix G in https://arxiv.org/pdf/1706.04987.pdf)
229,3, Any smooth function can be approximated by such networks.
230,3, It is more like a dependency-based version skip-thought on the sentence level.
231,3, \n\nI should mention that I'm not sufficiently familiar with the optimal transport literature to verify the detailed claims about where the proposed dual-based algorithm stands in relation to existing algorithms.
232,3,"""The paper presents a method that leverages demonstrations from experts provided in the shape of sequences of states (actually, state transitions are enough, they don't need to come in sequences) to faster learn reinforcement learning tasks."
233,3," \n\nThe authors empirically evaluate the proposed technique across multiple state-of-the art adversarial attacks, 3 datasets (MNIST, CIFAR10, and SVHN) and compare their novel adversarial detection technique to 2 other ones recently reported in the literature."
234,3,"\n[2] Beal, M.J. Variational Algorithms for Approximate Bayesian Inference."
235,3," The model is based on tensor factorization which extends GloVe to higher order co-ocurrence tensors, where the co-ocurrence is of words within subgroups of the text data."
236,3,  These do not appear in the smoother PCA version.
237,3," \n\nAt the same time, though, I see several important issues that need to be addressed if this paper is to be accepted."
238,1," It is sometimes difficult to communicate ideas in this area, so I appreciate the author's effort in choosing good notation."
239,3," That is, the authors learn all the previous layers\nby finding point estimates."
240,3,\nMore precisely there is tradeoff to achieve between the complexity of the model and its simplicity.
241,1, \n\nStrengths:\n- The method is simple but novel.
242,3, They claim to have the following contributions: \n\n1. Using a grammar to guide decoding
243,1," The experiments are interesting,"
244,3, It seems to have a negative impact for the range of values that are discussed.
245,3,"\"" Could the authors give more detail on this? A reference would be appreciated. """
246,1, \n3. Discussing about the robustness of SRM for different depth is interesting and I suggest to prepare more results to show the robustness of SRM to violation of different hyperparameters.
247,1," The choice of simulation constants (% delayed, and delay time) seems somewhat arbitrary as well."
248,3, The paper also needs more clarifications in the writing.
249,1," This may also explain why, for example, the baseline method with one adversary effectively fails for Opp-L."
250,3,"  Since only individual images were shown, the evaluation mainly measures the quality of the generated images."
251,1,\n- Experiments on three different tasks indicating the potential of the proposed technique.
252,3, This definitely would bring it closer to the way the VAE was originally introduced.
253,1, Passing the masked sequence is the right thing to do to avoid the mismatch between training time and test time.
254,3, What will be the total required training time to reach the same performance compared with single branch model with the same parameter budget?
255,3, How did you generate these stories with so many sentences?
256,3, \n5. Optimal LRs: Fig.5b shows results for 1000 iterations whereas the text says 10000 (seems like a typo in scaling the plot).
257,3," \n\nPrevious applications of TS to MDPs (Strens, (A Bayesian framework for RL) 2000; Osband 2013) commit to a posterior sample for an episode."
258,3," At a high enough level, these algorithms can be written the same way... there are undoubtedly some key differences in how they behave, but it's not spelled out to the reader and I think the connections can be missed."
259,3,"Overall, the results are a bit mixed."
260,3, \n\nArchitecture\n- MFSC are log Filterbanks ...
261,3,"\n(4) suggests using MC marginalization and also using the \""average\"" action to improve computational feasibility"
262,1, This model employs a 'projection discriminator' in order to incorporate image labels and demonstrate that the resulting model outperforms state-of-the-art GAN models.
263,3, Maybe this is what helps?
264,3,\nThey propose to have a predictor for deterministic information generation using a standard transformer trained via MSE.
265,3,\n-A new cross domain mapping is proposed\n-Large set of experiments\nCons\n-Some parts deserve more formalization/justification\n-Too many materials for a conference paper\n-The cost of the algorithm seems 
266,3, Arrows seem to have some different meanings.
267,3," The text (Sec 3) points to activations as being post-relu, but in this case zero-gradients should be a very small set (only occuring if all neurons on the next layer had either zero pre-relu gradients, which is common for individual neurons but, I would think, not for all at once)."
268,3," Nevertheless, the authors show that their method indeed reduce the interference generated by a new task on the old learned tasks.\n\n"
269,3,\n\nThe second step is to train the goal function for a specific task.
270,3,\n\nA major drawback of the evaluation of the different approaches is that\neverything was used with its default parameters.
271,1,.\n\nOriginality:\nThe presented idea seems novel.
272,3, This paper presents a theoretical analysis for 2-layer neural networks (NNs) through a spectral approach.
273,1,\nThe theoretical analysis is satisfactory.
274,3," I would also relate your work to distillation/model compression which tries to get one network to behave like another. On that point, is it important to train the forward and backward network jointly or could the backward network be pre-trained?"
275,3," Then, they train generative models over the auto-encoder's latent space, both using a \""latent-space GAN\"" (l-GAN) that outputs latent codes, and a Gaussian Mixture Model."
276,3, The task is to learn whether the center pixel is reachable from the starting point.
277,3, the form of equation (3) looks like an MMI criterion to me?
278,3, \n7. More explanation is needed towards Fig.4c.
279,3,  The method relies on sentiment pre-processing from GloVe and image pre-processing from Inception.
280,1,The problem and its potential applications are well motivated.
281,3,\n- It'd be great if Plot (a) and (b) in Figure 5 are swapped.
282,3, Are you thinking of the gradient coming back through PATH as a reward signal?
283,1, Figure `1 is a fantastic illustration that presents the core idea very clearly.
284,2,They show they can account for 20% of the variance. No wonder. The usually accepted level is 50% to...
285,2,It just doesnt make sense.
286,1," \n\nIn my opinion, the two different graph neural network models are both suitable for learning graphs with arbitrary length, \nand both models worth future stuies for speicific problems. """
287,1,"\n\nSummary:\nThis is a nice paper which deals with an important problem, has some nice results and while not groundbreaking, certainly merits a publication."""
288,3," In other words, the test set of a dataset that is used for evaluation might contain some classes that were also present in the training set that VGG was originally trained on."
289,3,\n\nMy first remark regards the presentation of the technique.
290,3," The paper provides theory to show that their proximal variant (even with the CG approximations) can lead to convergent algorithms (and since practical algorithms are not necessarily globally convergent, most of the theory shows that the proximal variant has similar guarantees to a standard gradient step)."
291,3,". However, I am not sure that the main result (Theorem 1) explains an effect of depth sufficiently."
292,3, The proposed method simply concatenates a saliency map with the corresponding raw pixel image as an input to adversarial perturbation detector.
293,3,\n\n* The use of the \\alpha^0 vs. \\alpha^1 variables is not entirely clear.
294,3,"  What are the inputs and outputs of the meta-learner, and how will it be used to obtain embeddings for the new domain?"
295,1,\n\nPros:\n- Task of reducing computation by skipping inputs is interesting\n
296,3, It circumvents the traditional tradeoff between search space size and complexity of the found models.
297,3, And does sampling for novel inputs by sampling the residual error collected from the training set. 
298,3, Why don't you present evaluation results on all tasks in the multitask setting?
299,1," It is well written, the idea is well articulated and presented."
300,3," which could be fairly large, thus the method is computationally much more expensive than random sampling."
301,3," \n\nThe proposed algorithm uses a two step approach: 1)  use trace norm regularization (expressed in variational form) on dense parameter matrices at training time without constraining the number of parameters,"
302,3, It is well known that the residual connections are important in training deep CNNs and have shown remarkable performance on many tasks.
303,3," This leads to a few questions:\n\n1. What was the performance of the \""regression policy\"", that was learned during the supervised pretraining phase?\"
304,3,  They use a sparse reward function of +10 for reaching the goal and -10x(lane difference from desired lane) as a penalty for failure.  This simple reward function is possible because the authors do not require the ego car to obey speed limits or avoid collisions.
305,3,"""This paper presents an experimental study on the behavior of the units of neural networks."
306,1,.\n\nThe paper is generally clear and well written.
307,2,They arbitrarily rule out models with interactions but without corresponding main effects. Etc.
308,3,"""This paper proposes a new variant of DQN where the DQN targets are computed on a full episode by a \u00ab backward \u00bb update (i.e. from end to start of episode)."
309,3, They also should compare to Strelka whic\nh interestingly they included only to make final calls of mutations but not in the comparison.
310,3,"\n\n\n[1] Dessein, A., Papadakis, N., & Rouas, J. L. (2016). Regularized Optimal Transport and the Rot Mover's Distance. arXiv preprint arXiv:1610.06447."
311,1, \n\nPros:\n- The research direction in combining model-based and model-free RL is interesting.
312,1,These are very impressive numbers for neural architecture search.
313,3,"""SIGNIFICANCE AND ORIGINALITY:\n\nThe authors propose to accelerate the learning of complex tasks by exploiting traces of experts."
314,1,\nbut the general idea of combining different specifications is quite promising.
315,3, It showed that the proposed method could mix between the modes in the posterior.
316,3, or did you spend a lot of time tuning it?).
317,2,To me the question is uninteresting
