,id,Description,forum_id
101,101,"No quantified metric on the closeness to the original performance is given, or commented, even though the paper gave quantified results for the financial experiment (OP's Tab.2)",ysFCiXtCOj
102,102,"For instance, when the performance is illustrated through a graph, I would have expected a comment on the closeness between the accuracy of the OP's model and the RR's model.",ysFCiXtCOj
103,103,- I find that the report lacked precision,ysFCiXtCOj
104,104,"For instance: (1) I am not sure which optimizer was used for most of the experiments, or what initialization; Sec 4.1 is an example of this",ysFCiXtCOj
105,105,"(2) p.6, l.146: ""orders of magnitude"": how many? Can you give an estimate of the time in each case? (3) p.7, l.159: can you be more precise than ""reasonably realistic samples""? Are there metrics that exist that could quantify by a number the quality of the images produced? (4) p.8, l.163: took much longer: can you be more precise? etc.",ysFCiXtCOj
106,106,"- I find that overall, the report does not take a step back w.r.t the experiments it makes",ysFCiXtCOj
107,107,"As a consequence, the RR did not reflect on some of the differences, notably Fig.3 (the snake network starts to diverge, on the contrary to OP's Fig",ysFCiXtCOj
108,108,4) and Fig.5 (the snake network does not fit the training points): how can these differences be explained? ,ysFCiXtCOj
109,109,"- The RR mentions having to find / guess some hyperparameters (Sec 3.3), but does not comment on the value that was ultimately found and used in the report, or the range of hyperparameters that was tested",ysFCiXtCOj
110,110,"It is true that the code is available on Github, but an explicit reference to it would help lift the doubt on certain implementation details",ysFCiXtCOj
111,111,"For now, the reader does not gain the knowledge missing from the OP by reading the RR.",ysFCiXtCOj
112,112,"- It was often difficult to separate the RR's conclusions from the OP's (for instance, it is confusing on a first read if the last paragraph of p.5 contains conclusions from the RR's authors or the OP's authors, or even if the experiment itself was in the OP (since the experiment does not appear in the main paper, but in the appendix)).",ysFCiXtCOj
113,113,===,ysFCiXtCOj
114,114,"Overall, I believe the report could be improved by introducing each experiment better, providing the implementation details, and giving a conclusion on the reproducibility of each experiment",ysFCiXtCOj
115,115,"Adding numerical results indicative of reproducibility (was the reproduced end accuracy of the model within X% of the OP's results?) for each experiment would help ground the report, and help it discuss in more details the state of reproducibility of the OP.",ysFCiXtCOj
116,116,===,ysFCiXtCOj
117,117,__Additional comments__,ysFCiXtCOj
118,118,"- Some figures are not referenced (ex: Fig.2, Fig.3, Fig.4,)",ysFCiXtCOj
119,119,This is problematic because this reinforces the idea that the experiment was run in the RR without an analysis of its results and its significance,ysFCiXtCOj
120,120,How can you tell that the results were indeed replicated?,ysFCiXtCOj
121,121,- The RR mentions that reimplementing the initialization was not obvious from the paper and that one of the OP's authors helped,ysFCiXtCOj
122,122,An additional comment about what was the problem / what was the solution found (or at least a pointer to the RR's code) would be useful.,ysFCiXtCOj
123,123,- Regarding the discussion of Fig.8: it seems to me that the difference between the RNN and the MLP could simply be due to a regularization effect: the RNN also seems to learn the right lower frequency,ysFCiXtCOj
124,124,"- The authors mention in the reproducibility summary that they reimplemented everything from scratch, though looking at the code, it appears that some implementations (of the LaProp optimizer or of the base code for the GAN) were based on existing codebases",ysFCiXtCOj
125,125,"While obviously the authors are not expected to recode *everything* from scratch, it would be more transparent to indicate that some parts of the code were built on top of existing code in the RR",ysFCiXtCOj
126,126,"- A mention of the software used (Pytorch for the neural networks) would have been useful, as all libraries do not have necessarily the same default hyperparameters",ysFCiXtCOj
127,127,"Similarly, the authors mention in Sec",ysFCiXtCOj
128,128,"3.5 that many experiments could be run locally: more details on the local hardware (which CPU for instance, a minima an indication on the quality of the ""local"" computer that was used) would be welcome.",ysFCiXtCOj
129,129,- The RR mentions that making the parameter  a learnable was not properly explained in the OP,ysFCiXtCOj
130,130,"Here too, a pointer to the solution found would be appropriate.",ysFCiXtCOj
131,131,- The introduction is extremely close to the one in the OP,ysFCiXtCOj
132,132,"I would suggest reformulating the introduction more, or possibly shorten it, to avoid repeating the OP.",ysFCiXtCOj
133,133,"- The figures were overall well made and close in design to the original paper, which helps when comparing results",ysFCiXtCOj
134,134,"Possible improvements could be to respect the color attribution for different models (Fig.2) and making sure that the scale of two plots coincide to make comparisons easier (Fig.10 top left and bottom left, Fig.13 for instance).",ysFCiXtCOj
135,135,The paper is well written and clearly structured.,ysFCiXtCOj
136,136,It is a valuable confirmation of the original paper.,ysFCiXtCOj
137,137,I only have a few formatting criticisms:,ysFCiXtCOj
138,138,"sin, cos, and snake should not be italic, but rather \sin or {\rm sin",ysFCiXtCOj
139,139,"I think, „4e -4“ should be relaced by 0.0004 or 4\cdot 10^{-4}",ysFCiXtCOj
140,140,"In Section 4.4 „Effect of \alpha$, use \boldmath{\alpha}",ysFCiXtCOj
141,141,"The presented report is well organized, systematic, clear and concise with most of the major experimental results reproduced and reported",ysFCiXtCOj
142,142,"To begin with, authors have clearly mentioned the key claims to be investigated in the scope of reproducibility with the focus on the properties of  the activation functions and their behaviour in the experiments reported in the original paper",ysFCiXtCOj
143,143,It has also been proposed to conduct additional experiments beyond what is already covered in the source paper,ysFCiXtCOj
144,144,"These includes DCGAN for handwritten digit generation and LSTM model for sentiment analysis, each modified to include the proposed snake activation function",ysFCiXtCOj
145,145,"It is however to be noted that when result plots for different cases are not reported in the same graph, it helps to report them on the same scale, wherever possible (e.g",ysFCiXtCOj
146,146,"Figure 12 and 13), for easier comparison.",ysFCiXtCOj
147,147,"Due to the unavailability of the source code from the author's of original paper, the current authors, in consultation with the original authors, have done a good job of replicating the results, which is matching qualitatively to a great extent with the ones reported in the original paper",ysFCiXtCOj
148,148,"While the architectural details were available in the original text, the hyper-parameters and any other information missing were assumed and arrived at with trial and error.",ysFCiXtCOj
149,149,Most of the results from the main content of the original paper has been reported and are found to be qualitatively matching,ysFCiXtCOj
150,150,Figure 1 has demonstrated the inability of learning periodicity outside of the training region and thus substantiates the claim 1 of the scope of reproducibility,ysFCiXtCOj
151,151,These reporting also matches with the corresponding figure in the original work for the widely used activation functions - ReLU and Tanh.,ysFCiXtCOj
152,152,"To substantiate claim 2 which states that the proposed snake activation function captures periodicity outside of the training samples and also maintains favourable optimization properties such as loss reduction comparable to or better than ReLU activation, corresponding results from original work has also been reproduced",ysFCiXtCOj
153,153,"Although the frequency of the sin wave used in the experiment appears to be different, it is helpful in demonstrating that even though periodicity is observed, significant deviations can still occur at far away places from the training samples",ysFCiXtCOj
154,154,"Nevertheless, differences in implementations can be a source of difference.",ysFCiXtCOj
155,155,"In addition to the demonstrations on synthetic datasets discussed earlier, the authors have further reproduced results on real-world/application oriented datasets that includes performance reporting of ResNet18 on CIFAR-10 dataset, atmospheric temperature prediction in Minamitorishima island (Japan), patient body temperature prediction and Wilshere 5000 index prediction",ysFCiXtCOj
156,156,All these reported results corroborates the points in the original paper across varying and diverse datasets.,ysFCiXtCOj
157,157,"Finally, the authors have reported results for a few experiments from the Appendix section such as the one showing the effect of various value of $a$",ysFCiXtCOj
158,158,It is also admirable that they have reported results and discussed implications of use of snake activation function in other scenarios such as training DCGANs and LSTMs,ysFCiXtCOj
159,159,"While the snake activation was shown to have reasonable and comparable training speed and test performances as evidenced by Figure 2 and 4, the extra experiments on non-toy datasets helped in highlighting the relatively slow training speed.",ysFCiXtCOj
160,160,"Thus, overall, the authors have tried to cover extensive set of experiments demonstrating pros and cons of the proposed snake activation function and have reproduced the results qualitatively to a great extent",ysFCiXtCOj
161,161,The difficulty in reproducing some of the work such as comparison with RNN on regressing a Simple Periodic function where the details were missing and the data points had to be inferred from the graphs have been mentioned,ysFCiXtCOj
162,162,"Similarly, it is also suggested to clarify the implementation details for showing variance correction using ResNet101 on CIFAR-10 for better reproducibility.",ysFCiXtCOj
163,163,"In this report, the authors reproduce the experiment parts of the paper: ""Can Gradient Clipping Mitigate Label Noise?"" by Aditya Krishna Menon, Ankit Singh Rawat, Sashank J",TM_SgwWJA23
164,164,"Reddi, Sanjiv Kumar.",TM_SgwWJA23
165,165,The main contributions of this report are: ,TM_SgwWJA23
166,166,1,TM_SgwWJA23
167,167,The authors reproduce experiments of the original paper to prove that Partially Huberised Loss does have label noise robustness.,TM_SgwWJA23
168,168,2,TM_SgwWJA23
169,169,The authors report corrected hyperparameters that were reported incorrectly in the original paper.,TM_SgwWJA23
170,170,3,TM_SgwWJA23
171,171,"Although it's not so much different from what the original paper insists, the authors provide results that are different from the original paper.",TM_SgwWJA23
172,172,4,TM_SgwWJA23
173,173,The authors clarify that the ResNet-50 architecture used in the original paper differs from the architecture of He et al,TM_SgwWJA23
174,174,2015 (this choice was not made clear in the original paper) and explains why this modification is necessary.,TM_SgwWJA23
175,175,Minor issue:,TM_SgwWJA23
176,176,"In experiments using Long & Servedio dataset, there is no explanation for why is the accuracy becomes lower when the corruption rate ρ is lower.",TM_SgwWJA23
177,177,Verdict:,TM_SgwWJA23
178,178,The report contains some solid experiments and additional information and corrections not in the original paper,TM_SgwWJA23
179,179,I can see researchers trying to build upon the original paper benefitting from reading this reproducibility report,TM_SgwWJA23
180,180,"For this reason, I recommend the report be accepted.",TM_SgwWJA23
181,181,The report aims to reproduce a paper on so-called Partially Huberised losses,TM_SgwWJA23
182,182,These losses are used to mitigate the label noise,TM_SgwWJA23
183,183,The report replicates all the experiments from the original paper and makes insightful discoveries.,TM_SgwWJA23
184,184,The report is well-written and easy to follow,TM_SgwWJA23
185,185,The original paper is summarized and all the experiments are described in details,TM_SgwWJA23
186,186,The report also mentions the communication with the authors of the original paper which revealed some typos or mistakes in the original paper.,TM_SgwWJA23
187,187,"The original paper was reproduced from scratch with a different framework (PyTorch, instead of Tensorflow)",TM_SgwWJA23
188,188,This is good way to test the reproducability.,TM_SgwWJA23
189,189,Suggestions for improvements:,TM_SgwWJA23
190,190,"- The very first section ""Scope of Reproducability"" should discuss, the scope",TM_SgwWJA23
191,191,What the report reproduces and what it does not.,TM_SgwWJA23
192,192,- The hyper-parameter search is the same as in the original paper,TM_SgwWJA23
193,193,The report does not go an extra mile to search wider space,TM_SgwWJA23
194,194,"Nevertheless, I understand that such experiments may be time consuming and require a lot of computational resources.",TM_SgwWJA23
195,195,"- It is always desirable to include extra datasets, extra experiments, more architectures to more thoroughly test the claims of the original paper.",TM_SgwWJA23
196,196,- Section 4.2.2 mentions that the reproduced experiments used the mixed precision for training,TM_SgwWJA23
197,197,The report should clarify if this is different from the original paper and if it may influence the results.,TM_SgwWJA23
198,198,"Overall, this is a good report",TM_SgwWJA23
199,199,I recommend accept.,TM_SgwWJA23
200,200,The report aims to reproduce the results of the paper 'Can gradient clipping mitigate label noise?' The report gives a summary of how the reproduction is conducted and briefly introduce the original paper,TM_SgwWJA23
201,201,The paper also gives the details including the hyper-parameters and computational infrastructures,TM_SgwWJA23
202,202,The authors provides the reproducing codes with detailed documentation.,TM_SgwWJA23
203,203,The given report examines the reproducibilty of a deep denoising model SADNet for natural images based on spatial-adaptive residual blocks,yiAI9QN9nYt
204,204,"The model was proposed in the paper ""Spatial-Adaptive Network for Single Image Denoising"" by Chang et al",yiAI9QN9nYt
205,205,The model was reimplemented by the authors of the report using the residual spatial-adaptive block and the context block from Chang et al.,yiAI9QN9nYt
206,206,  ,yiAI9QN9nYt
207,207,**Reproducibility Summary:**,yiAI9QN9nYt
208,208,The report contains a reproducibility summary as required by the template.,yiAI9QN9nYt
209,209,**Scope of Reproducibility:**,yiAI9QN9nYt
210,210,The authors of the report clearly state the scope of their reproducibility experiments.,yiAI9QN9nYt
211,211,**Code:**,yiAI9QN9nYt
212,212,The code was provided,yiAI9QN9nYt
213,213,The authors reimplemented the training loop and the model and reused some code from the original repository (the residual spatial-adaptive block and the context block),yiAI9QN9nYt
214,214,The authors use the dataloader provided with the dataset,yiAI9QN9nYt
215,215,"Overall, the code is well written but some comments and doc-strings would highly improve the readability",yiAI9QN9nYt
216,216,"Unfortunately, I was not able to run the code due to CUDA incompatibilities.",yiAI9QN9nYt
217,217,**Communication with Original Authors:**,yiAI9QN9nYt
218,218,The authors of the report state that no communication with Chang et al,yiAI9QN9nYt
219,219,was necessary to reproduce the results.,yiAI9QN9nYt
220,220,**Hyperparameter Search:**,yiAI9QN9nYt
221,221,The authors use the hyperparameter settings stated in the paper,yiAI9QN9nYt
222,222,No further hyperparameter sweeps were performed,yiAI9QN9nYt
223,223,Given the long training time of three days this choice seems reasonable,yiAI9QN9nYt
224,224,"However, the authors changed the initialization scheme to the Kaiming initializer (instead of Xavier uniform initializer)",yiAI9QN9nYt
225,225,	    ,yiAI9QN9nYt
226,226,**Ablation Study:**,yiAI9QN9nYt
227,227,No ablation study was carried out.,yiAI9QN9nYt
228,228,**Discussion on Results:**,yiAI9QN9nYt
229,229,The authors were able to reproduce most of the results from the original paper,yiAI9QN9nYt
230,230,The PSNR/SSIM values closely match the values reported by Chang et al,yiAI9QN9nYt
231,231,"However, visually the results shown in Figure 5 are qualitatively worse than the original results",yiAI9QN9nYt
232,232,Also runtimes are compared with the runtime stated in the original work (using different hardware) which is not appropriate,yiAI9QN9nYt
233,233,Running the original code on the same hardware would have been a more meaningful way of comparing runtimes.,yiAI9QN9nYt
234,234,**Recommendations for Reproducibility:**,yiAI9QN9nYt
235,235,No recommendations made.,yiAI9QN9nYt
236,236,**Results Beyond the Paper:**,yiAI9QN9nYt
237,237,No results beyond the original work reported.,yiAI9QN9nYt
238,238,**Overall Organization and Clarity:**,yiAI9QN9nYt
239,239,The report is well-written and well-organized,yiAI9QN9nYt
240,240,The authors should add references for the first sentence of the introduction,yiAI9QN9nYt
241,241,Some small comments on the writing can be found at the end of the review.,yiAI9QN9nYt
242,242,**Summary of Review:**,yiAI9QN9nYt
243,243,The report at hand successfully reproduced the original paper,yiAI9QN9nYt
244,244,The authors are very clear about their experimental setup and the problems that they faced during reproduction,yiAI9QN9nYt
245,245,"However, there are some minor problems in the discussion",yiAI9QN9nYt
246,246,"Nonetheless, I recommend to accept the paper to the ML Reproducibility Challenge 2020.",yiAI9QN9nYt
247,247,**Minor Remarks:**,yiAI9QN9nYt
248,248,- line 90: recieves -> receive,yiAI9QN9nYt
249,249,- line 114-115: 1e-4 vs 10^8,yiAI9QN9nYt
250,250,- caption Figure 2 and Figure 3: validation dataset should not be capitalized,yiAI9QN9nYt
251,251,- Equation (1): the \delta in front of m_i is missing,yiAI9QN9nYt
252,252,- Equation (2): set-notation is not appropriate here: \delta p^s and \delta m^s should form a tuple instead of a set,yiAI9QN9nYt
253,253,"However, this notation is also used in the original work.",yiAI9QN9nYt
254,254,"- line 144: \sigma = {30, 50, 70}: here \in should be used instead of ""=""",yiAI9QN9nYt
255,255,> Overall approach to reproduce the results and the adjoining paper are quite clear.,yiAI9QN9nYt
256,256,> The reproducibility summary is provided.,yiAI9QN9nYt
257,257,> It seemed easy to reproduce the results from the paper although the authors had to resort to default hyperparameters as these were not readily available,yiAI9QN9nYt
258,258,Their results still tallied with that of the original paper showing that the model architecture is robust to change in hyperparameter settings,yiAI9QN9nYt
259,259,> It is not clear if the authors rewrote the original PyTorch code.,yiAI9QN9nYt
260,260,"> Even though no communication with the original authors was made, some areas to tidy up in the code are discussed by the authors.",yiAI9QN9nYt
261,261,The paper seeks to reproduce the results of the paper titled “VCNet: A Robust Approach to Blind Image Inpainting”,RKAKTnLzb8q
262,262,"Due to computational constraints, some hyperparameters like the batch size (and consequently others as well) were modified",RKAKTnLzb8q
263,263,"For the same reason, only a subset of the original training data was used for training the models",RKAKTnLzb8q
264,264,"Due to the above reasons, the quantitative results are somewhat different from the original paper",RKAKTnLzb8q
265,265,"Despite such (statistically significant) differences, it seems reasonable to deduce that the core claims of the original paper are found to hold",RKAKTnLzb8q
266,266,"Overall, the reproducibility study is reasonable, and the changes necessitated by the lack of constraints do not substantially take away from the study conducted and reported herein",RKAKTnLzb8q
267,267,The study qualitatively substantiates the main claims of the original work and presents a novel ablation study that investigates the robustness aspect of the original model,RKAKTnLzb8q
268,268,This study will be useful to the audience of this challenge as well as the wider AI/ ML community interested in the original work,RKAKTnLzb8q
269,269,I have some concerns regarding the stated scope and the alignment of the study design with the stated scope but perhaps it can be addressed in a revision,RKAKTnLzb8q
270,270,"Similarly, the discussion on the results and the clarity should be improved",RKAKTnLzb8q
271,271,"Overall, my recommendation is a borderline acceptance of the paper if the authors address the shortcomings listed below",RKAKTnLzb8q
272,272,"In the following, an evaluation of this paper on the metrics suggested by the RC 2020 challenge is presented:",RKAKTnLzb8q
273,273,Reproducibility Summary: ,RKAKTnLzb8q
274,274,A 1-page summary is provided and adheres to the style guidelines,RKAKTnLzb8q
275,275,The major findings have been reported in the summary.,RKAKTnLzb8q
276,276,Scope of Reproducibility: ,RKAKTnLzb8q
277,277,The authors have provided a brief and clear summarization of the problem statement and the proposed approach,RKAKTnLzb8q
278,278,"However, more care should have been taken in stating the questions sought to be answered and aligning the study design to answering them.",RKAKTnLzb8q
279,279,(a) Q.1 – mask prediction – is evaluated,RKAKTnLzb8q
280,280,(b) Q.2 – quantitative results – instead should be inpainting quality as measured by PSNR and SSIM metrics,RKAKTnLzb8q
281,281,(c) Q.3 – whether it is possible to generate realistic inpainting results – is too vague,RKAKTnLzb8q
282,282,(d) Q.4 – whether PCN resolves the degrading inpainting performance – is not tested as an independent claim,RKAKTnLzb8q
283,283,"(e) Q.5 – ablation studies mentioned in the paper – design choices (MPN, PCN ($\rho$), semantic consistency term, etc",RKAKTnLzb8q
284,284,is not tested,RKAKTnLzb8q
285,285,"Instead, different use cases – generalization to unseen noise, raindrop removal, and, face swapping are investigated.",RKAKTnLzb8q
286,286,Code: ,RKAKTnLzb8q
287,287,The code for the original paper is not publicly available,RKAKTnLzb8q
288,288,The authors have implemented the code from scratch in PyTorch,RKAKTnLzb8q
289,289,"As mentioned in the report, the original paper contains detailed description of the architecture making the process easier but still some parts needed more clarifications.",RKAKTnLzb8q
290,290,Communication with original authors: ,RKAKTnLzb8q
291,291,The authors mention that even though the original work is quite descriptive they had to reach out to the authors to clarify certain architectural details,RKAKTnLzb8q
292,292,The original authors gave access to the private repository and the concerning points were clarified.,RKAKTnLzb8q
293,293,Hyperparameter search: ,RKAKTnLzb8q
294,294,The authors of the report had limited access to computational resources,RKAKTnLzb8q
295,295,All the experiments were conducted on a single RTX 2080Ti,RKAKTnLzb8q
296,296,"Due to the limited GPU memory, the maximum batch size that could be used for training was 4, which is different from the original proposed work",RKAKTnLzb8q
297,297,"To compensate for the smaller batch size, the authors have finetuned the learning rate and the number of iterations accordingly",RKAKTnLzb8q
298,298,This setting should be useful to audience with similar constraints on the availability of resources.,RKAKTnLzb8q
299,299,"The report also highlights key details that were crucial to reproducing the results but were missing in the original paper, for example, weight initialization and the architecture details of the discriminator",RKAKTnLzb8q
300,300,All the combinations of hyperparameter settings used in the experiments are provided in Table 1 of the report.,RKAKTnLzb8q
301,301,Ablation study: ,RKAKTnLzb8q
302,302,"The authors claim to conduct an ablation study, but I am not sure if it can be called such",RKAKTnLzb8q
303,303,Ablation refers to studying the impact of modeling design choices on performance by carefully ablating (removing) parts of the model,RKAKTnLzb8q
304,304,"Authors instead study the downstream used of the model – (a) unseen noise sources (including raindrops) during test, and, (b) the face swapping task",RKAKTnLzb8q
305,305,The first task is only demonstrated qualitatively (like in the original paper) while the authors are unable to replicate the results on the second task,RKAKTnLzb8q
