,Description,forum
48,"However, I find the general reliance on the PSNR as a performance assessment to be problematic, as this does not take into account the structural content of the images post-denoising",BcAWplCftE
49,2 there appears to be some structural discrepancies in the ‘Flywing’ data,BcAWplCftE
50,"While the ‘N2V (conv.)’ image has a lower PSNR than ‘ours’, the visual agreement between the N2V (conv.) and ground truth data appears better than that between ours and ground truth",BcAWplCftE
51,"As a sanity check for myself, I thresholded and skeletonised these images and while the N2V (conv.) and ground truth skeletons matched well, the ‘ours’ skeleton deviated substantially at the central junction",BcAWplCftE
52,"Apologies if this seems facetious, but I think it underlines the necessity for another measure of performance, especially as the ultimate goal of denoising microscopy images is to produce a better baseline from which quantitative measurements of structure can be made (rather than just a visually pleasing image).",BcAWplCftE
53,"I would suggest that the authors remove the phrase ‘stunning visual improvement’ (line 443) as this is rather subjective – for example, using the positivity constraint in the mouse actin deconvolution does not improve the prevalence of patterned noise (which can be seen if the images are Fourier-transformed).",BcAWplCftE
54,"Section 4.5, wherein the effects of the PSF size are investigated, seems a little abrupt",BcAWplCftE
55,"Although the PSF size parameter is clearly critical for the performance of the method, this section would have benefitted from additional discussion of e.g",BcAWplCftE
56,"a non-uniform PSF throughout the image or tolerance to the PSF deviating from a Gaussian function, as these are both relevant considerations in real-life microscopy applications.",BcAWplCftE
57,The paper is overall incredibly clear and I managed to understand the majority of what was written on my first pass (in contrast to my general experience reading papers in this field).,BcAWplCftE
58,"The repeated use of the phrase ‘diffraction-limited’ is somewhat misleading and may even be doing the work a disservice, This phrase is normally used in the context of referring to conventional widefield or confocal fluorescence imaging data; however there is no reason that the application of this method is limited to this regime",BcAWplCftE
59,"For example, given that the condition of a point spread function whose spatial distribution can be approximated by a Nyquist-sampled Gaussian distribution of known width, this approach could be readily applied to some super-resolution data such as STED images",BcAWplCftE
60,"For this reason, the authors may wish to reconsider the use of the phrase ‘diffraction-limited’ although this is just a suggestion.",BcAWplCftE
61,The work described here is a very similar concept to that described in [Kobayashi et al (2020)](https://arxiv.org/abs/2006.06156),BcAWplCftE
62,"However the authors acknowledge this work in their discussion and given that there was less than one month between the submission of the work by Kobayashi et al and the BIC submission deadline I do not see this as shortcoming in originality (rather, unfortunate timing)",BcAWplCftE
63,"Setting aside the paper by Kobayashi et al, this paper displays interesting conceptual novelty",BcAWplCftE
64,"In comparison to the paper by Kobayashi et al, this work (in my opinion) is much better focused toward the application of fluorescence microscopy and is reported in such a way that I feel it is more likely that a microscopist would preferentially use the method presented here",BcAWplCftE
65,"The overall conceptual significance – integrating knowledge about the image formation process into the denoising method – is high, as I mentioned above",BcAWplCftE
66,"I am still not entirely convinced, however, that there is a *significant* increase in performance, as the PSNR values represent fairly marginal gains over to Noise2Void (alongside my above concerns regarding structural fidelity).",BcAWplCftE
67,"* The paper is very well written, explained, and presented",BcAWplCftE
68,"* The theoretical benefits of the approach are substantial, and again the explanation of these is well-integrated into the paper",BcAWplCftE
69,* The discussion of the paper shows that this work is a starting point and that the authors have thought about concrete ways to extend and improve it going forward,BcAWplCftE
70,* The authors have not convinced me from a quantitative point of view that the results are superior to existing self-supervised methods.,BcAWplCftE
71,The paper addresses the problem of denoising of microscopy images and the fact that traditional methods as well as various recent supervised deep learning methods make assumptions about the noise statistics that may not hold,BcAWplCftE
72,"The authors advocate the use of self-supervised deep learning methods, as high-quality paired training data is often not available to properly train supervised methods",BcAWplCftE
73,But they observe that self-supervised methods typically produce high-frequency artifacts and achieve inferior results compared to supervised methods,BcAWplCftE
74,"To remedy this, they propose to exploit the fact that the images are usually diffraction-limited, by adding a convolution with a point-spread function model to an existing self-supervised deep learning-based denoising method (Noise2Void) and training it accordingly",BcAWplCftE
75,Experimental results on a range of microscopy images illustrate the potential of the proposed method.,BcAWplCftE
76,This paper is well written and the presentation is easy to follow,BcAWplCftE
77,"While the idea is interesting, I am not convinced it is theoretically sound",BcAWplCftE
78,"As explained (in Section 3.3 and also in Section 3.4), the Noise2Void method estimates the image s",BcAWplCftE
79,"Since s=z*h (Section 3.1), this makes it a denoising method, not a deconvolution method, and that is indeed how the method was designed",BcAWplCftE
80,"Thus, simply processing the estimated s by convolution with an assumed PSF model h (Figure 1 and Section 3.4) is questionable",BcAWplCftE
81,"Of course, doing so will force Noise2Void to behave more like it, and you can claim to ""view the direct output before the convolution as an estimate of the phantom image ..",BcAWplCftE
82,"an attempt at deconvolution"" and get some visually pleasing results, but that does not make the approach theoretically right",BcAWplCftE
83,"Rather, it seems a practical trick that apparently happens to work to some extent.",BcAWplCftE
84,"- Section 4.1: Synthetic data is generated using a Gaussian PSF and pixel-wise additive Gaussian noise, but that is not realistic",BcAWplCftE
85,"As the authors admit elsewhere (multiple times), the dominant sources of noise are Poisson photon noise and Gaussian readout noise (Sections 1 and 3.1).",BcAWplCftE
86,"- Section 4.2: ""Our implementation is based on the pytorch Noise2Void implementation from [10]",BcAWplCftE
87,"We use the exact same network architecture, with the only difference being the added convolution with the PSF at the end of the network."" This, combined with the above major concern, make both the theoretical and the practical contribution of the paper rather limited.",BcAWplCftE
88,- In Section 2 many methods are discussed but the comparison in Figure 2 is limited to only N2V (and a variant),BcAWplCftE
89,Are there really no available software implementations of other methods to compare with?,BcAWplCftE
90,- Section 4.3: The only quantitative measure used is PSNR,BcAWplCftE
91,It is tricky to make the entire quantitative comparison hinge on a single measure that is known to be questionable,BcAWplCftE
92,"It would be good to also evaluate using other measures, such as SSIM.",BcAWplCftE
93,"- The authors claim ""considerable visual improvements"" (Figure 2) and even ""stunning visual improvement (Section 4.4)",BcAWplCftE
94,These are subjective statements that in my opinion are not supported by the provided evidence.,BcAWplCftE
95,This work introduces the use of the properties of skeletonised nuclei for classifying whether nuclei should be classified as tumour or non-tumour in the context of breast cancer diagnosis.,DkCvYVwJHjb
96,"The work should be commended for taking care to discuss the aims, limitations, and potential extensions of the approach",DkCvYVwJHjb
97,The authors also acknowledge the limitations of the test data set and steps taken to mitigate bias,DkCvYVwJHjb
98,"While the MAT skeleton features method introduced by the authors does not numerically outperform other methods in measures of accuracy or specificity, it offers a noticeable improvement in sensitivity",DkCvYVwJHjb
99,The major criticism that I have with regard to quality is that the use of skeletonization as a descriptor is heavily dependent on the initial segmentation of the nuclei in the image,DkCvYVwJHjb
100,"Although the authors have performed ablation to disentangle the contribution of different skeleton descriptors to overall accuracy/sensitivity/specificity, the impact of initial segmentation quality was not taken into consideration",DkCvYVwJHjb
101,"This is slightly worrisome as this is the foundation upon which the entire method is based, and the authors themselves in the caption of Figure 1 describe the segmentation performance as only ‘fairly accurate’",DkCvYVwJHjb
102,"Again, the caption of Figure 1 acknowledges the merging of nuclei together, which will then of course dramatically alter the skeleton(s) in that region",DkCvYVwJHjb
103,"An interesting experiment would have been, for example, to compare results between an expert manual segmentation for one or two regions of interest with the U-net based segmentation.",DkCvYVwJHjb
104,On the whole the paper is very clearly written and presented and is easy to read and comprehend,DkCvYVwJHjb
105,"However, there are a few instances where this is not the case",DkCvYVwJHjb
106,There is a little confusion with regard to the advantages of this approach compared to related works,DkCvYVwJHjb
107,"Specifically, the authors explain that segmentation of nuclei is a downside (lines 133-136), yet their approach necessarily requires segmentation",DkCvYVwJHjb
108,A major shortcoming in clarity is in how the method deals with nuclei that are annotated as neither tumour nor non-tumour (i.e,DkCvYVwJHjb
109,the four additional classes listed in lines 163-164); this is not discussed,DkCvYVwJHjb
110,"A diagrammatic representation of the features in Table 1 may have added value to the paper, as would have addition of the segmentation boundaries and skeletons to the images in Figure 3.",DkCvYVwJHjb
111,"The authors do not introduce any novel algorithms or metrics, rather they integrate established segmentation methods (modified U-net), transforms (medial axis transform), and descriptors (ribbon, taper, separation)",DkCvYVwJHjb
112,The application to classification of breast biopsy nuclei does appear to be novel.,DkCvYVwJHjb
113,One of the biggest strengths of this paper is the focus on what is necessary in an image analysis tool for pathologists diagnosing breast cancer,DkCvYVwJHjb
114,The authors clearly outline the need for interpretable and tangible metrics (e.g,DkCvYVwJHjb
115,"shape descriptors rather than the ‘black box’ of deep learning methods), and they clearly weigh the benefits of this interpretability against methods that may ‘score’ better",DkCvYVwJHjb
116,This strength (in my opinion) outweighs the need for a leap in computational novelty.,DkCvYVwJHjb
117,* The work is focused towards a specific application and integrates the needs of that application (both from an analytical standpoint and a practical standpoint) into the method,DkCvYVwJHjb
118,* The performance of the method is generally good,DkCvYVwJHjb
119,"* The added value, limitations, and future extensions of the skeleton-based approach are explored and discussed.",DkCvYVwJHjb
120,"* The method is necessarily dependent on the initial segmentation quality, and this is not sufficiently explored",DkCvYVwJHjb
121,* The method performs a binary classification on the detected nuclei (tumour/non-tumour) when in fact there are six possible classes in the ground truth data; it is unclear how this is resolved in this method.,DkCvYVwJHjb
122,This paper addresses the problem of nucleus classification based on its morphological characteristics,DkCvYVwJHjb
123,The problem is motivated by the need to automate analyses of ROIS extracted from whole slide images and classifying the ROIs into tumor and non-tumor regions based on the shapes of nuclei,DkCvYVwJHjb
124,The authors approach the problem by ,DkCvYVwJHjb
125,"•	detecting boundaries of nuclei in ROIs, ",DkCvYVwJHjb
126,"•	verifying the boundaries against ground truth centroids in BreCaHAD dataset from the paper accessible at  https://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4121-7, ",DkCvYVwJHjb
127,"•	applying a medial axis transform (MAT) to nuclei, ",DkCvYVwJHjb
128,"•	defining 20 features derived from MAT-based skeletons, and ",DkCvYVwJHjb
129,•	classifying the ROIs based on the features using SVM with RBF kernel.,DkCvYVwJHjb
130,The experimental results include comparisons of the proposed method against other subsets of features and CNN-based methods applied to raw images.,DkCvYVwJHjb
131,The method for preparing training data based on the available BreCaHAD dataset is very creative,DkCvYVwJHjb
132,The 20 features derived from MAT-based skeletons is novel.,DkCvYVwJHjb
133,The authors argue at the beginning about the importance of model interpretability,DkCvYVwJHjb
134,"However, that argument is never mentioned in the experimental section",DkCvYVwJHjb
135,The reader would expect the argument to be developed in Table 2 (add a column for model interpretability),DkCvYVwJHjb
136,"In addition, the authors should demonstrate that they designed all features to have a physical meaning while many other man-constructed features can have very hard to interpret meaning, for example, many texture features (GLCM, wavelet, Zernike, etc.) are very hard to explain to biologists.",DkCvYVwJHjb
137,"The paper would benefit from a discussion about feature construction (i.e., physical meaning, link between the biological observations and feature construction), feature dimensionality (i.e., why 20 features?), and feature selection (i.e., ranking of all features from all methods as shown in Table 4 for top 5).",DkCvYVwJHjb
138,The paper would really benefit if you could create synthetic data demonstrating the performance of individual features for a range of nucleus shapes,DkCvYVwJHjb
139,The work would also be better received if you would create a visualization (as hinted in your conclusion section) that has a pseudo-colored spatial graph of nuclei,DkCvYVwJHjb
140,The reason for my comment is that your classification can take into proximity information depending on whether tumor nuclei are interleaved with non-tumor nuclei or tumor nuclei form spatially isolated colonies.,DkCvYVwJHjb
141,The paper builds on an existing method (CryoGAN) that reconstructs a 3D density of a biomolecule from random 2D tomographic Cryo-EM projections and extends it to the case when the biomolecule is present in multiple structural conformations,5PSL-CjHeP4
142,"Specifically, the authors propose to use a generator module G(z) over a latent space z that parameterized a distribution of possible 3D molecule densities",5PSL-CjHeP4
143,The sampled densities  together with a forward model produce synthetic 2D tomographic projections which are together with real 2D projection are used to train a discriminator/critic as part of a Wasserstein GAN like approach,5PSL-CjHeP4
144,The paper then demonstrates that for a synthetic dataset that both with a discrete and a continuous conformation space can be recovered,5PSL-CjHeP4
145,- Approach is original and interesting,5PSL-CjHeP4
146,- Provides strong theoretical foundation of the method,5PSL-CjHeP4
147,- Description of latent code -> conformation manifold could be made clearer ,5PSL-CjHeP4
148,"The paper is clearly written, the presented approach is interesting and well described, and the results are convincing",5PSL-CjHeP4
149,The approach of using a GAN like generator in conjunction with a realistic forward model that generates 2D tomographic samples from the 3D density and then to train a critic on the latter (i.e,5PSL-CjHeP4
150,CryoGAN) seems to be a very powerful and flexible method,5PSL-CjHeP4
151,"- As far as I can tell (cf Algorithm 2), the actual training scheme is simply a WassersteinGAN (with a differentiable forward model on top of the generator), or? That could be made a little bit clearer in the text",5PSL-CjHeP4
152,"- For the latent code  ""pz ~ Uniform (z0 , z1 ), where z0, z1 in R^{32,32,32} are randomly chosen from Uniform(0,0.025)""",5PSL-CjHeP4
153,Why was that specific initialization chosen?,5PSL-CjHeP4
154,- Meaning of the latent space: In the paper the latent code is affinely mapped to the conformation space via (1-a)*z1 + a*z2 ,5PSL-CjHeP4
155,Why would that be the correct mapping? As far as I understood the latent space is of size 32x32x32 (is that correct?) and there must be many latent paths that would correspond to a path in conformation space,5PSL-CjHeP4
156,"If the conformation space is now 2 or 3 dimensional, which subset of the latent space would one choose then? What would happen, if the conformation manifold does not even admit a single global chart (e.g",5PSL-CjHeP4
157,if the molecule has a subunit that can freely rotate around an angle 0...2pi)?,5PSL-CjHeP4
158,"- typos: ""carries"", ""space f"", ""versiond""",5PSL-CjHeP4
159,"- ""called a hypermolecule, which is characterized by a basis of hypercomponents"" -> that's a bit hard to understand.",5PSL-CjHeP4
160,"- ""they rely on 3D clustering to deal with structural variations of protein complexes"" -> why 3D clustering? In which space (poses, conformations) is clustered?",5PSL-CjHeP4
161,- line 402: is there alpha missing before z_1? ,5PSL-CjHeP4
162,- what would be if orientations are not uniformly distributed on SO3? Would the reconstruction simply be worse?,5PSL-CjHeP4
163,"The authors present multi-cryoGAN, a generative adversarial neural network for reconstruction of continuous molecular conformations",5PSL-CjHeP4
164,"The method is an extension of cryoGAN, which can perform the reconstruction task for single conformations only",5PSL-CjHeP4
165,Understanding the continuous motion between individual conformations is important for the understanding of biological mechanisms,5PSL-CjHeP4
166,"The authors evaluate their method on a synthetic dataset, once for a continuous range of conformations and once for two discrete conformational states.",5PSL-CjHeP4
167,The practical value of such a method is very high and there is certainly demand in the field,5PSL-CjHeP4
168,The related work section nice reviews existing work in this field.,5PSL-CjHeP4
169,"The paper is missing a comparison to other state-of-the-art methods like cryoDRGN (https://www.biorxiv.org/content/10.1101/2020.03.27.003871v1), which is mentioned in the introduction but not compared to",5PSL-CjHeP4
170,"It would be interesting to see the FSC curves for reconstruction from different methods, even if they are only able to reconstruct a single conformation.",5PSL-CjHeP4
171,* In the theory part the authors mention the possibility of reconstructing conformations with translation/shift errors i.e,5PSL-CjHeP4
172,"Later, in the experiments, this option is disabled, therefore not testing the ability of the proposed method to handle translations/shifts.",5PSL-CjHeP4
173,* In the experiments only Gaussian noise is used,5PSL-CjHeP4
174,It would nice if also Poisson noise would have been used,5PSL-CjHeP4
175,Is there any problems to expect when switching to real data (and the associated noise sources)?,5PSL-CjHeP4
176,* Figure 4a: it would be quite interesting to see the resolution of the reconstructed particles for each different conformation at 0.5 FSC.,5PSL-CjHeP4
177,* Figure 5a: the reconstruction seems to have a tendency to prefer the two extreme conformations -- why do you think that is? And how would an experiment of discrete conformations with a 50-50 split look like in comparison?,5PSL-CjHeP4
178,"* Will the code for this work be available online? If so, the authors should point to it in a footnote or so...",5PSL-CjHeP4
179,The authors propose an approach for the segmentation of retinal vessels,Br3_V9RBB
180,"With their modifications, that they introduce in this paper (modified pre-processing, a combination of two losses, subpixel convolution modules for up-and downsampling in the U-Net), they achieve state-of-the art results (although interpretation of comparison with other studies is limited in my opinion)",Br3_V9RBB
181,The new introduction of using subpixel convolutions also for down-sampling (it is usually used only for up-sampling) improves the method.,Br3_V9RBB
182,### Major strengths of the paper,Br3_V9RBB
183,"- The paper is clear, results are presented nicely, and the paper is easy to understand.",Br3_V9RBB
184,"- The authors try out different model parameters and present the results nicely in an ablation study, such that the reader can see the individual contributions.",Br3_V9RBB
185,"- The results the authors achieve with their new method are better than other methods, but interpretation of results are limited (see next section)",Br3_V9RBB
186,"The authors use different modifications (such as pre-processing, loss combination, subpixel convolution) that improve the method, that are clearly presented such that it is easy to learn from this paper.",Br3_V9RBB
187,### Major weaknesses of the paper,Br3_V9RBB
188,"- In this paper, the authors compare their results to results of other studies, but this comparison has several problems:",Br3_V9RBB
189,"Inference and Evaluation is done on a resized image (512x512) from sizes (584x565, 999x960, 700x605) for the three datasets",Br3_V9RBB
190,"Evaluation on a downscaled ground-truth version makes it difficult to compare with other studies (this is not so relevant for the first or third dataset, but especially for the second dataset with a downscale factor of ~2)",Br3_V9RBB
191,It is also unclear whether the downscaling of the ground-truth was carried out in a way to preserve thin vessels with only a 1-pixel diameter.,Br3_V9RBB
192,"In their results table, they provide results from other studies, but for two out of three datasets, there is no predefined train-test splitting (this is clearly not the author's fault but the benchmark is problematic)",Br3_V9RBB
193,"Instead, they use a random splitting meaning that their test-split likely differs and the results are only comparable in a very limited way",Br3_V9RBB
194,Only results on the Drive dataset are directly comparable.,Br3_V9RBB
195,"There is no validation set (but only training and test set), and it is unclear whether hyperparameter tuning was carried out on the training set or test set",Br3_V9RBB
196,"They use their best performing model on the test set to compare with other models, which demonstrates some tuning on the test set",Br3_V9RBB
197,"Overall, this seems to be a general problem of the community as the size of datasets that are available are limited and no clear & clean benchmark is set up.",Br3_V9RBB
198,"Given that results are good on all datasets and that all versions of their models achieve competitive results, it is still likely that results are indeed good, but caveats of the comparison should be addressed more clearly in the discussion part.",Br3_V9RBB
199,- Captions of the figures are too short (sometimes only a few words) which makes it difficult to understand the figures or to spot the relevant aspects of the figure.,Br3_V9RBB
200,"- Figure 3 caption: Caption is too short, it would be nice to have a little walk-through in such a caption",Br3_V9RBB
201,"guide the reader to the relevant things, mainly what are the contributions of the paper.",Br3_V9RBB
202,- Line 404: in the following tables → replace with the actual tables.,Br3_V9RBB
203,- Reference for DICE-loss is missing (in section 3.4).,Br3_V9RBB
204,"""combined with Ben Graham’s [2] pre-procesing method of subtracting the local average colour""",Br3_V9RBB
205,"Line 263 & 285: ""In this the image"" → In this image",Br3_V9RBB
206,"Line 343: ""vessel vs non-vesel pixels.""",Br3_V9RBB
207,"Line 400: ""around an hour and a half on an average""",Br3_V9RBB
208,Takes an hour and a half on average,Br3_V9RBB
209,This paper focuses on a longstanding problem in medical image analysis: retinal vessel segmentation,Br3_V9RBB
210,The authors propose to apply a subpixel residual U-Net to segment the retinal vessels in preprocessed images fusing contrast enhancement and average color subtraction,Br3_V9RBB
211,Performance is evaluated on three public data sets.,Br3_V9RBB
212,"In this reviewer's opinion, the work is out of scope, as the workshop is about biological image analysis rather than medical image analysis",Br3_V9RBB
213,"But more importantly, the paper has too many shortcomings:",Br3_V9RBB
214,"- Section 2 is a rather monotic enumeration of recent works in the field, one by one, without an overarching discussion of trends including solved aspects and remaining challenges",Br3_V9RBB
215,This lack of insights into the strengths and weaknesses of the discussed works makes it hard to appreciate the value of the proposed method or even why a new method is needed at all.,Br3_V9RBB
216,- Section 3.2 combines two well-known preprocessing methods (CLAHE and average color subtraction) and performs well-known data augmentation approaches.,Br3_V9RBB
217,"- Sections 3.3-3.4 propose a deep neural network architecture that consists of well-known concepts (U-Net, ResNet, batch normalization, ReLU, subpixel convolution, BCE-Dice loss)",Br3_V9RBB
218,"It is not clear from the description what is really new, except for minor technical details, whose effects on the final results are not evaluated.",Br3_V9RBB
219,"- Section 4 presents the training approach and the test results ""as is"", without any discussion of the experimental design or the findings, and the sensitivity of the latter to the system hyperparameters",Br3_V9RBB
220,Tables 1-3 show the results of an ablation experiment suggesting there is an advantage in using information fusion,Br3_V9RBB
221,Table 4 simply repeats the best results from Tables 1-3,Br3_V9RBB
222,"A comparison with some of the methods listed in Section 2 is shown in Tables 5-7, suggesting the proposed method is superior, but no discussion is presented as to why the proposed method would be better",Br3_V9RBB
223,Nor is it clear that the differences in performance between any of the different methods is statistically significant.,Br3_V9RBB
224,"- Section 5 states that the method outperforms ""state-of-the-art models with a much simpler architecture with lesser parameter (~20M) with a fast inference speed of 0.5 seconds on a 512x512 full image""",Br3_V9RBB
225,"No numbers (parameters, speed) are given for the other models, so the claims are not substantiated.",Br3_V9RBB
226,All in all this paper is missing too much information to make it valuable to the community.,Br3_V9RBB
227,This paper investigates a simple pre-processing method and a modified U-Net architecture for the task of retinal vessel segmentation,Br3_V9RBB
228,The pre-processing combines CLAHE and Ben Graham's algorithm,Br3_V9RBB
229,The modification to the U-Net consists in the use of subpixel convolutions in the down- and up-sampling paths,Br3_V9RBB
230,Results are presented on three public datasets and show consistently improved results over competing methods.,Br3_V9RBB
231,The paper is generally well written and easy to follow,Br3_V9RBB
232,"The related work section, however, would benefit greatly from a discussion of the differences to the proposed method.",Br3_V9RBB
233,"Furthermore, the experimental evaluation lacks a detailed description of where scores of competing methods come from (did the authors run experiments themselves, or are they from other publications?) as well as a discussion of the results (only a table with all the numbers is given)",Br3_V9RBB
234,I suggest the authors use the extra space they still have to expand this section.,Br3_V9RBB
235,The novelty of the proposed method is somewhat limited,Br3_V9RBB
236,"None of the introduced methods is new (CLAHE and Ben Graham's pre-processing, subpixel convolutions)",Br3_V9RBB
237,"Nevertheless, the application of those methods to the task of retinal vessel segmentation is sensible and worth studying.",Br3_V9RBB
238,"Results are presented on three datasets (Drive, Chase, and Stare) and compared against several competing methods",Br3_V9RBB
239,"Due to non-standard splits of the Chase and Stare dataset (and no further information about whether the authors reimplemented competing methods), the results for those are hard to compare",Br3_V9RBB
240,"On the Drive dataset, however, the method shows a consistent improvement in accuracy (under several metrics).",Br3_V9RBB
241,* convincing improvements on several datasets,Br3_V9RBB
242,* unclear comparison to competing methods,Br3_V9RBB
243,* lack of discussion in related work and experimental results,Br3_V9RBB
244,This work approaches the addition of a feedback attention mechanism into a U-Net based segmentation method with commendable rigour,7G1GGjdzrde
245,"While the authors only demonstrate their method on one dataset, they do so in a methodical manner whereby the carefully validate what sort of feedback works best, and also offer explanations as to why this is the case",7G1GGjdzrde
246,"The authors also validate which layers of the network work most effectively for their chosen network architecture, and that the improvement in segmentation performance is indeed due to the addition of feedback attention rather than just from running data through the U-Net twice.",7G1GGjdzrde
247,The figures are generally good quality,7G1GGjdzrde
248,The attention maps in Figure 4 are particularly striking and are a good demonstration of the difference between the two proposed feedback attention methods introduced here.,7G1GGjdzrde
249,"I would have been very interested to see the authors look closer at the attention maps and performance for the mitochondria and synapse classes, as these classes display the most striking segmentation accuracy improvement over the other methods compared",7G1GGjdzrde
250,"It would also have been interesting for the authors to have discussed cross-applicability of this approach to other microscopy modalities, for example digital pathology data.",7G1GGjdzrde
251,"It took me a few reads of the paper in order to sufficiently understand the method, and there are quite a lot of grammatical errors and typos throughout.",7G1GGjdzrde
252,I personally found that the Query/Key/Value terminology was quite clunky and detracted from my ability to understand section 3.2,7G1GGjdzrde
253,"For example, the phrase ‘the $i$th Query’s impact’ (line 255) threw me for a while, as I was unclear which dimension (C, H, W) $i$ was indexing",7G1GGjdzrde
