,Class Index,Description
216,2,I would suggest either activating the spell-checker on Word or finding a way to keep your cat from walking on the keyboard.
217,2,I fail to see the contribution either to physics or social science
218,1,"  The idea of using class label to adjust each weight\u2019s learning rate is interesting and somewhat novel,"
219,1," The results are also presented in a confusing way, with the current state of the art results separate from the main results of the paper."
220,1, \n- What is the effect of network hyper-parameters?
221,1,"\nMoreover, it would be interesting to show if this class-based learning rates changes the convergence of the model or if the early stopping occurs earlier etc...\n\n"""
222,2,"While I personally enjoyed this contribution, I cannot escape the sense that this is much ado about very little, to paraphrase Shakespeare."
223,2,"This paper reads like a womans diary, not like a scientific piece of work"
224,2,The peaceful atmosphere between Christmas and New Year was transiently disrupted by reading this...
225,2,"Sprinkled here and there are some things, also taken from his readings, that are more or less correct. But it is all very confused."
226,1,"\nTypo: \nIn Session 3 Line 7, there is a missing reference."
227,2,"This is nonsense, It is disingenuous to say the least &amp; The authors should stop pretending their method is useful h/"
228,2,I dont know what the heck the red highlighted text is supposed to mean and left it as is.
229,2,The derivation is correct but too simple! The paper is therefore not suitable for a general readership.
230,2,"Cite newer, relevant references, especially those published by X 2012, and X 2008. Best wishes, Dr. X, Associate Editor"
231,1,"Second, it could benefit from a deeper (maybe theoretical analysis) of some of the questions."
232,2,"This paper is conceptually unclear, and the causal argument/hypotheses are muddled. In short, it is a mess. I stopped reading after page 7"
233,1,  Where is this method most applicable and where is it not applicable?
234,1," A KB is usually a pretty static entity, and things are added to it at a slow pace."
235,2,"These theoretical results have not been verified experimentally. Therefore, they are wrong"
236,2,"Most of the work is methodological rather than scientific, making it somewhat boring."
237,1, It would be nice to discuss computational cost as well.
238,2,this may eventually be a cited paper.
239,2,This kind of prose simply borders on cruelty against the reader. And the conclusion is the intellectual equivalent of bubblegum.
240,2,"If you arent going to make to the effort to understand, then you should just give up"
241,2,"The turn of phrase is just a vague rhetorical equivocation that is meant to add a semblance of an intellectual air to the text, a rhetorical attempt at being in fashion, but it dissolves only in empty intellectualism."
242,1," \n\n2. Sec. 3.3 and 3.4 is a little bit abbreviated from the major focus of the paper, and I guess they are not very important and novel (just educational guess, because I can only guess what the whole algorithm Smoothie is)."
243,2,"Can you explain this part a bit further, but without going into detail"
244,2,"In the end, I am not sure what is the thesis of the essay (or whether there is one) or how and why the parts are connected"
245,1,"\n\nAlthough the manuscript has many positive aspects to it,"
246,2,The authors are treating what might be called a boutique version within a model that is already considered a boutique model' by many.
247,1,"  However, while results on convex hull task are good,"
248,1," The point made in the text between \""Where\"" and \""overseas\"" is perfectly reasonable, but it is a mystery why the base model on the right doesn't learn to associate the common words \""where\"" and \""in\"" both commonly expressing a location."
249,2,"Why dont you just send copies of this to the two people in the world who care about it, and forget the publication route?"
250,2,"The experiments are reasonable, but they fail the fundamental test of good science"
251,1, I found the formulation of the \\alpha to be non-intuitive and confusing at times.
252,2,"...to show their similarities or differences, as well as, advantages or disadvantages by your own letters.."
253,2,The paper could be considered for acceptance given a rewrite of the paper and change in the title and abstract.
254,2,"If philosophy of science was not taught in the authors doctoral program, (s)he needs to go back and dope slap his/her major professor"
255,1,\n* There are thorough discussion with related works
256,1,\n+ Improved performance in speech recognition task.
257,1, so that the recurrent neural networks with attention could capture the learning signal to avoid the repetition issue and the heuristic function in the test time can be removed.
258,2,Too mathematically inclined.
259,2,This work is antithetical to the spirit of [XX research] and will impede potentially important developments.
260,2,"If I never see another piece of writing started with these lines, it will still be too soon."
261,2,"Nothing about the paper is objectively concerning, but I am left unconvinced"
262,2,"It is at best of little value and, in the worst case, irrelevant and offensive"
263,1," However,  the authors here argue that spectral normalization is more powerful; it allows for models of higher rank (more non-zero singular values) which implies a more powerful discriminator and eventually more accurate generator."
264,1,"  It would be good to explicitly state that (boldface) s is a vector of scores s_u (or score vectors, in case of multiple edge types) for all u in V."
265,2,I showed this paper to my nurses and they agreed there was nothing new reported here.
266,1,. It is a term to minimize a risk not a parameter
267,1,"\n\n--------------------\n\nadditional review after seeing the author's response: \n\nThe author's response pointed out some of the limitation of Soudry and Carmon, and Xie et al's which I agree."
268,2,"Im disappointed to say, given the outstanding pedigree of the authors of this paper, that it adds nothing to earlier research."
269,1, Some more extra work is needed to derive the lipschitz constant of the loss function from the CNN function.
270,1," The given examples seem to exhibit certain kind of mode collapse, i.e. different examples have similar wording from a very limited vocabulary.[[CNT], [EMP-NEG], [CRT], [MIN]] It is possible that the generator just learned to overfit the sentiment classifier, so that the classifier thought the transferred sentences have the desired sentiment, but the transferred sentences may lack variations and hence lacks practical use."
271,1,\n\nMany of the ideas presented are novel.
272,1," Indeed when the network misclassifies an example, its adversarial version is forced to be close to it in embedding space while the adversarial term promotes a different prediction from the clean version (that of the ground truth label)."
273,1,\n\nCons\n-------\n\nNone
274,1,"  \n\n2. The proposed idea is very well motivated, and the proposed model seems correct."
275,2,"Unfortunately, I cannot recommend this paper for publication because its contents violate the laws of physics"
276,1,"  I noticed the following issues:\n\n1) The learning task is based on error patterns, but it's not clear to me what exactly that means from a software development standpoint."
277,2,"My disappointment when finding flawed analyses, conclusions, and terminology [..] was therefore substantial"
278,1," \n\nBecause of this, the paper needs to be updated and cleaned up before it can be properly reviewed."
279,2,The biggest value of this paper lies in the fact that its pages are bound together.
280,1,"\n\nAs mentioned in earlier comments, please reword / clarify your use of \""activation function\""."
281,2,"And finally, the references are a mess."
282,2,The most striking—and troubling—feature of this manuscript is that it contains so many exceedingly strange assumptions.
283,2,The authors seem to be reinventing the wheel and a flat tire to go along with it
284,2,The presentation resembles a fishing expedition with claims made beyond the performance of the technology
285,1, And an extensive literature of theoretical results.
286,2,Not earth shatteringly original but it is hard to be so in this field.
287,1,"  \n\nIf convenient, could the authors comment on a similarly motivated paper under review at iclr 2018:\nVARIANCE-BASED GRADIENT COMPRESSION FOR EFFICIENT DISTRIBUTED DEEP LEARNING"
288,2,"While an interesting concept, in its current form, the approach taken is fundamentally inadequate and flawed for almost all use cases."
289,1," It would make a lot of sense to use the same loss as the evaluation metric (not to mention the properties of PCA)."""
290,1,"""Active learning for deep learning is an interesting topic and there is few useful tool available in the literature. It is happy to see such paper in the field."
291,2,"Unfortunately the paper itself is full of so many fundamental misunderstandings, I don't even know where to begin in criticizing it"
292,1, Are the assumptions in Theorem 2 reasonable?
293,2,"There is no research methodology, no data, no model, no significant analysis and no conclusions which arise from the study"
294,2,Perhaps what I have written is deflating
295,1," In my sense, the authors do not provide any evidence theoretically or analysis on why the shifted version of ELU (which does not pass the origin) is more favorable."
296,2,"The first and last paragraphs are weak and read in a style unlike the rest of the paper, like poor advertising copy."
297,1, \nand 2) the distributional discrepancy between the re-weighted source domain and\nthe target domain.
298,2,To put it bluntly: The last thing I want is a reviewer rejecting my papers with reference to an ideological paper like this one
299,2,It seems like you are torturing the data until the model converges.
300,1, Hence I'm not fully convinced that this model indeed works as claimed.
301,1," \n- Since there are existing methods to generate images from a textual description (e.g. Zhang ICCV 2017, \""StackGAN\""), Fig. 10 merits a comparison to those."
302,1, What is the bases for these parameter choices?
303,2,The results are as weak as a wet noodle
304,2,"This paper is baffling.[…] In particular, I have not looked at all at section 2 of the paper"
305,2,"While I think there is good reason to have performed this work, it does make for unexciting reading."
306,2,This work is not an easy topic. 
307,2,"It is rather clear that the paper is incomplete and hastily submitted, as it contains no contribution number. This paper is NOT COMPLETE"
308,2,"I believe that the authors have done scientific work, but in the current form of the paper it is impossible to judge it."
309,1," It also showed good online A/B test performance, which indicates that this approach has been tested in real world."
310,2,"Despite the apparently impeccable arrangement of the essay, with headings and sub-headings, the progression of argument is not always transparent, often hindered by otiose wording. 

"
311,1," --- the new algorithm is 10 times faster and requires only 1/100 resources, and the performance gets worse only slightly."
312,1, I am curious about the efficiency of the method.
313,2,Please reject it completely and then block the authors email ID so they cant use the online system in the future.
314,1,"   There is some text about a variant of CTC, but it does not explain very clearly what was done or what the motivation was."
315,2,insights that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that any idiot can have a go
316,1," Another example, \""are obtained using the GloVe vector, not using PPMI\"" - there are close relationships between what GloVe learns and PPMI, which the authors seem unaware of (see e.g. the GloVe paper and Omer Levy's work).\u2028\n\n4."
317,2,This is a terrible sentence. It has so many different things in it and not enough punctuation
318,1," However, this is not the case for the former (see, e.g., Comon et al., 2008 as cited in this paper)."
319,1," All the results are more or less direct applications of existing optimization techniques, and not provide fundamental new understandings of the learning REPRESENTATION."""
320,2,The rest of the Introduction is just as badly done as the first paragraph so I will not continue
321,1," \n\nIt is not clear why the authors have decided to use out-dated 5-layer \""LeNet\""  and NiN (Network in network) architectures instead of more recent and much better performing architectures (and less complex than NiN architectures)."
322,1,"  \n2. Unlike one-hidden-layer linear networks, the characterizations of critical points for deep linear networks and deep ReLU networks seem to be hard to be interpreted."
323,1,\n\nWeaknesses:\n- Figure 2: the plots are too small.
324,1," I also think that the authors should not discuss the general framework and rather focus on \""data teaching\"", which is the only focus of the current paper."
325,2,"If this was taken from a successfully defended thesis, as it appears to have been, then he should not have been awarded a PhD"
326,1,"\nHowever, performance results seem to be competitive and that's the reader may\nbe eager for insights."
327,2," found the use of the evolutionary theory problematic. This is a highly contested theory, with major flaws"
328,2,Thats not how science is done.
329,1, Using DReLU to improve the state-of-art neural network in an uncontrolled setting is important.
330,1,"None of this work is cited, which I find inexcusable.\u2028\n\n2. "
331,1,"\n\nOverall, I think the technical contributions of the paper are quite limited, and the experiments are not well enough described for publication."
332,1," \nFrom these 100 evaluations (with different hyperparameters / architectures), the final performance y_T is collected."
333,1,"\n- The results show only one form of comparison, and the results have confidence intervals that overlap with at least one competing method in all tasks."""
334,2,"While the problem is a very important one for modern society, the topic and lessons are not of broad interest"
335,1," This is in my view is how implementations of episodic tasks with a timeout should be done and is implemented this way is classic RL frameworks (e.g., RL glue)."
336,1," As is, I don't really see how this motivation has anything to do with getting things out of a KB."
337,1,"  For example, the Cai et al. paper from ICLR 2017 is not considered"
338,2,"Publishable, but why?"
339,1,.\n\n2. A comparison without dummy parameters would be interesting to investigate the performance differences between the algorithms in a lower-dimensional problem.
340,1,\nI do not know which message the paper tries to get across here.
341,2,"Alarming errors, even if they could be easily corrected, gave a sense of carelessness that makes me hesitant to recommend it for revisions"
342,1,\n - p.7: I was slightly surprised by how small vocabs (3k and 5k words) are said to be optimal for NLI (and similar remarks hold for SQuAD).
343,1,In the context here this didn\u2019t seem a particularly relevant addition to the paper. 
344,1,\n****\n\nSummary:\nThe authors propose an experimental framework and metrics for the quantitative evaluation of disentangling representations.
345,2,"You will see that Reviewer 2 has slightly missed the point, so please dont pay too much attention to their comments in your revision. -E"
346,1,"""The paper is well written, and the authors do an admirable job of motivating their primary contributions throughout the early portions of the paper."
347,1, This is a very well-accepted method actually used in real-world autonomous cars.
