,Description,Class Index
219,"\n\nThroughout, the authors write out equations as if the weights in all layers are equal, but this is confusing even if the authors say that this is what they are doing, since their explanation is not very clear.",1
220,"There is too much detail provided which is not relevant to the paper, or any for that matter.",2
221,I am impatient with this vague assertion.,2
222,"Your content is stellar and your writing is excellent. However, consider hiring an editor for subsequent revisions - The entire revie",2
223,"In the course of this paper many stones were thrown but, unfortunately, no birds were harmed.",2
224,"  Even in a streaming mode where images need to be evaluated one by one, there are ways to pipeline execution of the residual blocks, and I do not see any discussion of these alternatives in the paper.",1
225," \n- I do not understand the purpose of \""input injection\"" nor where it is used in the paper. ",1
226,This review is without a doubt the single most difficult one I have had to write so far.,2
227,this piece…shows no real understanding of history at all,2
228,Please correct the language and connet of teh COI part!,2
229," As a result, I am not sure if the proposed algorithm is on par with / faster than the regular SGD algorithm in actual runtime.",1
230,"  Moreover, is this D_S same as the style classifier used in the metric?",1
231, The experimental results also look promising.,1
232,"\n3. In Eq. (3), \\tilde{D} is not defined.",1
233,.\n\nweakness\n\n* The graph in p.3 don't show the architecture of the network clearly.,1
234,I want to vomit; I cant believe this paper was submitted.,2
235, but not precisely described.,1
236," \nMissing citation: \""Training Deep Neural Networks on Noisy Labels with Bootstrapping\"", Reed et al.\n""",1
237,I don't think that means what you think it means,2
238,\n\nPros:\n1. The required time for architecture searching is significantly reduced.,1
239,"I am concerned that the survey data for this report were collected in 2005, 15 years ago.",2
240,  \n\nWeak points\n---\n- I have a critical question for clarification in the experiments. ,1
241,"\n\nThe concept of applying sparsity on \\gamma to prune channels is an interesting one, compared to the usual approaches of sparsity on weights",1
242," Nevertheless, it is well written and I think it is solid work with reasonable convincing experiments and good results.",1
243,"""MARS is suggested to combine multiple adversaries with different roles.",1
244,"""The authors propose using piecewise linear activation functions with contraints to make it continous.",1
245,This is a confusing paper,2
246,"The paper is badly written, and poorly organized. In its current form, the paper cannot be accepted. The paper is poorly written or poorly thought-out. I think the paper is poorly written and most of its statements are wrongly and poorly motivated.",2
247,This paper is baffling,2
248,I dont understand thermodynamics.,2
249,"""The authors present an algorithm for training ensembles of policy networks that regularly mixes different policies in the ensemble together by distilling a mixture of two policies into a single policy network, adding it to the ensemble and selecting the strongest networks to remain (under certain definitions of a \""strong\"" network).",1
250,"As I understand it, you already have good evidence (youve said as much on Facebook). There's no reason to leave this as an open question.",2
251, \n\nArchitecture\n- MFSC are log Filterbanks ...,1
252,This needs some rephrasing—its loaded with the assumption that there is a real world,2
253, Low-Rank Doubly Stochastic Matrix Decomposition for Cluster Analysis.,1
254,It is not clear what the author wants to accomplish. - Reviewer ,2
255,"As a last minor comment, the authors should specify explicitly what the shaded areas are in Fig. 4b,c.""",1
256,Table 5 is a beast. I have no idea what it is trying to say because it terrifies me,2
257,They present an irresponsibly unbalanced literature review of the issues at hand and design an experiment that is ill suited to address the stated aims of the paper' 1/,2
258, It is not clear what is the source of the other cancer control case.,1
259," The model is more general than the cognitive maps (Gupta et al, 2017) and builds on the NTM/DNC or related architectures (Graves et al, 2014, 2016, Rae et al, 2017) thanks to the 2D spatial structure of the associative memory.",1
260,\n\nThe cherry on the sundae are the experimental results.,1
261,"\n\n\n## Quality\n\nOverall, only single training runs from a random initialization are used.",1
262, To me it is unclear why we should use this method for incorporating background knowledge and not some simpler way.,1
263,\nKSS seems to need the user study.,1
264,"The authors spelling of coordinate, while technically correct, is arcane and annoying.",2
265,"Theories can be meaningful when they can explain phenomenon. If theories exist for themselves, they may be play of language.",2
266,\n- I find figure 1 (c) somewhat confusing.,1
267," If these choices (like the dialogue termination conditions) are motivated by previous work, they should be cited.",1
268,I find this submission confusingly written. The aims and objectives seem rather muddled. References are rather sparse.,2
269," This paper also proposes adaptive dropconnect, which extends dropconnect (Wan et al., 2013) by using an adaptive algorithm for masking network topology.",1
270,The english languish should be improved,2
271,\n\n\n - The paper proposes a (I believe) novel method to obtain visual explanations.,1
272," Would be interesting to see the time/accuracy frontier.""",1
273,The introduction seems pointless. It offers some odd views,2
274,I don't see much science in this manuscript.,2
275,"I urge the authors to not publish this article anywhere, as it will impede the progress of scientific understanding.",2
276,The author has re-invented lukewarm water. This is all naive philologising.,2
277,"Not all that compelling an idea to me, regardless of whether it is true",2
278," \n* In the text, figure 4 (which is in the supplement) is referenced before figure 3 (which is in the text).",1
279,"There is no research methodology, no data, no model, no significant analysis and no conclusions which arise from the study",2
280,We regret that some of the remarks made by Referee 1 were not edited before being sent to you. -Editorial Assistant on behalf of Edito,2
281,"Cite newer, relevant references, especially those published by X 2012, and X 2008. Best wishes, Dr. X, Associate Editor",2
282, It also introduced a mixed objective with self-critical policy learning to encourage predictions with high word overlap with the gold answer span.,1
283,So much trash belonging to the worst school of Bedlam literature — since Mr. Melville seems not so much unable to learn as disdainful of learning the craft of an artist. [original review of Moby Dick,2
284,Your discipline doesnt exist,2
285, The paper would be much improved if it was generally toned down.,1
286,"This will never work: Negative reviews of famous, ground-breaking papers....",2
287,"I am concerned that the survey data for this report were collected in 2005, 15 years ago.",2
288,\n(6) MC methods can outperform TD methods with more complex and high dimensional perceptual inputs.,1
289,Note that you failed to provide to provide the contribution number in the acknowledgements. The paper is NOT COMPLETE!,2
290,"I shall not comment beyond the end of the methods section, and shall comment selectively rather than exhaustively (which would indeed be exhausting)",2
291,"When the reader is finished struggling through all the methods and results, he/she is left wondering whether it was worth the time.",2
292,"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",2
293," Moreover, a very simple baseline to assess the LSTM component of the model, would be to produce a graph by sampling links repeatedly from the latent space of node embeddings.",1
294,"The manuscript is poorly written although it can be follow with lots of typos, and a review by a native English speaker is clearly needed",2
295,"\n\nApart from these comments, I found the paper interesting especially for the big amount fo comparisons carried out.",1
296," On the other hand, although re-weighting methods are\nunbiased, they suffer from the drawbacks of high variance and unknown optimal\nweights.",1
297,This work amounts to a form of methodological perfectionism. Perfectionism can be the enemy of the possible in science.,2
298,…this is a antique approach to a modern problem,2
299,Then a lemma by Kalai and Vempala can be used.,1
300, The authors argue that the success of these simple approaches on these tasks suggest that more changing problems need to be used to assess new RL algorithms.,1
301,The thanking of the Reviewers comments is both a waste of my time and the authors time.,2
302," \n\nThe main limitation of the paper is proposing a principled way to mitigate noise as done in Sukhbataar et.al. (2014), or an actionable trade-off between data acquisition and training schedules.",1
303,My argument against it as a full paper is that it makes an incremental contribution to the state of the the science.,2
304,"Weak, poor experimental design, no analysis possible, carelessly written, poorly thought through",2
305,The author is tilting at windmills.,2
306,"This is a disaster. I could continue, but you see my point.",2
307," The theoretical proofs do make strong assumptions (in particular, the fact that the true distribution must be uniquely constrained by its marginal along the measurement).",1
308,"\n\nNegatives: \n- Multi-class classification problem is one incarnation of Multi-Task Learning, there are other problems where the tasks are different (classification and localization) or auxiliary (depth detection for navigation).",1
309,"\nUnlike the most common form of imitation learning or behavioral cloning, the authors \nformulate their solution in the case where the expert\u2019s state trajectory is observable, \nbut the expert\u2019s actions are not.",1
310,"   The proposed network predicts a 2D mask image, where local maxima  correspond to object locations, and values of the maxima correspond to presence values.",1
311,I have rarely read a more blown-up and annoying paper in the last couple of years than this hot-air balloon manuscript,2
312,There is no need to test these hypotheses. They have been tested a long time ago. It is in all...,2
313,"I also added back in the two lines on p.16 that youd inexplicably deleted. If theres a reason for their deletion, let me know.

-Journal editor, after telling me to reduce the word coun",2
314,This study has the same problem with focusing on a garbage-can group that is not uniformly sampled and has no evolutionary cohesion.,2
315,"""This paper presents an image-to-image cross domain translation framework based on generative adversarial networks.",1
316,I hope the authors can learn from this exercise on what is expected to craft a publishable paper. -Edito,2
317,"presumptuous, ignorant and downright dangerous.",2
318,"Please respond to the Reviewer 2's comments, who suggested Rejection of the paper'. Reviewer 2 Comments to the authors: 'None.",2
319,"I appreciated how the author assumed that a goodly percentage of
the readership aren't native speakers, so anything academic would be lost",2
320,"\n\n[1] Juan, C., Sutton, R. S., & Ram, A. Experiments with Reinforcement Learning in Problems with Continuous State and Action Spaces.\n\n[2] Henderson, P., Islam, R., Bachman, P., Pineau, J., Precup, D., & Meger, D. (2017). Deep reinforcement learning that matters. arXiv preprint arXiv:1709.06560.\n\n[3] Nair, A., McGrew, B., Andrychowicz, M., Zaremba, W., & Abbeel, P. (2017). Overcoming exploration in reinforcement learning with demonstrations. arXiv preprint arXiv:1709.10089.""",1
321," In a work that relies heavily on precise mathematical formulation, there are several instances when the details are not addressed leading to ample confusion making it hard to fully comprehend how the idea works.",1
322,"\n\n- It may also be worth adding this reference when discussing neural factorization:\nhttp://www.cs.toronto.edu/~mvolkovs/nips2017_deepcf.pdf\n""",1
323,It is worth saying that I am not convinced that you contribute to the evidence base in this paper.,2
324,It would be charitable to call this a comparison of apples and oranges. Its more like steak and...,2
325,"I am, frankly, underwhelmed by the revisions. Most of the responses sound smooth, but really just written to avoid serious additional work",2
326,Didnt like this one,2
327, What would happen if shapes different than random squared patterns were used at test time?,1
328,"\n- The authors missed an important related work which studies the same problem and comes up with a similar conclusion: Lin, Mausam, and Weld. \""To re (label), or not to re (label).\"" HCOMP 2014.",1
329, \n- It looks like it is not finished.,1
330,The abstract is ok in the context of a weak manuscript,2
331,"The paper is overlong, very verbose and contains unnecessary repetition. - (via shitmyreviewerssay)",2
332,"There is essentially nothing unexpected, although the central observation of [..] is an unexpectedly large and important effect",2
333,It is shocking to read how statistics are being misused just for the sake of being able to write something.,2
334,They show they can account for 20% of the variance. No wonder. The usually accepted level is 50% to be useful,2
335,  It was not clear from this presentation how the human participants were rewarded for their performance.,1
336," Overall, the reported functionality is nice,",1
337," Crucially, there is no comparison to a trivial linear combination of ML and RL, which in one way or another was used in almost all prior work, including GNMT, Bahdanau et al, Ranzato et al.",1
338," Also, cluster-to-cluster might not fit well.",1
339," In particular it demonstrates adversarial training of a recurrent generator for an ICU monitoring multidimensional time series, proposes to evaluate such models by the performance (on real data) of supervised classifiers trained on the synthetic data (\""TSTR\""), and empirically analyzes the privacy implications of training and using such a model.",1
340,"Currently, the impression is that this was simply another piece of research/ consultation.",2
341,"Adequate, if not particularly appealing.",2
342," \n\n- The two approaches to inducing the final region embedding (word-context and then context-word in sections 3.2 and 3.3, respectively) feel a bit ad-hoc.",1
343,"Statistical analysis. It is a bit strange for me that authors have used Python for statistical analysis instead of using SPSS or MATLAB as usual in the field. Please, explain.",2
344,\n\nDecomposing the semantic part from the context part in an image based on a generative model is an interesting problem.,1
345, but well below current best single models of around 76-78 F1.,1
346,The proposal is largely descriptive and mostly a fishing expedition. It will be great if they catch some interesting or unexpected fish,2
347," Some of the conclusions could be further clarified with additional experiments (e.g., Sec 3.6 \u2018while the reason that RMS also fails to detect overfitting may again be its lack of generalization to datasets with classes not contained in the ImageNet dataset\u2019).\n""",1
348,"\n\nOriginality\nThis seems to be first paper that consistently matches baseline results below int-8 accuracy, and shows a promising future direction.",1
349," For example, \""In this case we could apply the inversion, however it is much more convinient [sic] to take the negative of distance.",1
350," Assuming that the result carries over to ConvNets, I find this result to be very interesting.",1
